customer_id,age,gender,city,occupation,annual_income,card_type,credit_limit,join_date
C00049,39,M,Jaipur,Self Employed,46224.38,Silver,100000,2019-04-27
C00050,21,M,Pune,Self Employed,66557.91,Silver,100000,2020-05-27
C00051,60,F,Pune,Self Employed,75515.67,Gold,250000,2020-12-04
C00052,23,M,Pune,Salaried,87336.91,Silver,100000,2023-08-07
C00053,34,M,Hyderabad,Salaried,90972.77,Silver,100000,2022-07-01
C00054,25,M,Lucknow,Retired,87996.9,Platinum,500000,2022-04-18
C00055,52,F,Mumbai,Salaried,82149.27,Silver,100000,2021-03-02
C00056,52,F,Bangalore,Business Owner,97292.15,Signature,1000000,2023-08-15
C00057,53,F,Lucknow,Salaried,84436.53,Gold,250000,2023-05-20
C00058,49,M,Bangalore,Business Owner,84011.72,Silver,100000,2023-06-19
C00059,43,M,Bangalore,Salaried,63756.33,Platinum,500000,2023-06-14
C00060,24,F,Ahmedabad,Self Employed,55209.97,Gold,250000,2023-07-08
C00061,41,F,Delhi,Self Employed,71522.32,Gold,250000,2021-07-08
C00062,56,M,Kolkata,Salaried,84838.0,Gold,250000,2019-04-06
C00063,33,M,Jaipur,Salaried,44121.55,Gold,250000,2024-03-19
C00064,39,F,Bangalore,Salaried,93717.82,Gold,250000,2020-01-31
C00065,27,F,Kolkata,Salaried,73107.04,Gold,250000,2023-03-10
C00066,32,M,Kolkata,Self Employed,78029.08,Silver,100000,2021-06-09
C00067,59,M,Bangalore,Student,69632.6,Silver,100000,2022-05-31
C00068,63,M,Lucknow,Student,43082.37,Platinum,500000,2021-01-20
C00069,37,M,Kolkata,Salaried,57000.9,Platinum,500000,2020-09-25
C00070,28,F,Delhi,Retired,76114.68,Gold,250000,2024-01-31
C00071,45,F,Pune,Self Employed,17701.44,Platinum,500000,2023-12-16
C00072,30,M,Mumbai,Business Owner,102084.34,Signature,1000000,2019-02-08
C00073,40,M,Delhi,Salaried,108134.15,Gold,250000,2019-07-09
C00074,53,F,Kolkata,Salaried,93125.89,Silver,100000,2019-05-14
C00075,41,M,Delhi,Business Owner,84208.82,Gold,250000,2022-06-10
C00076,23,F,Lucknow,Retired,71630.52,Signature,1000000,2024-05-30
C00077,28,M,Lucknow,Salaried,43733.15,Silver,100000,2022-02-19
C00078,48,M,Pune,Salaried,62954.55,Silver,100000,2019-02-10
C00079,29,M,Bangalore,Student,98512.72,Gold,250000,2021-07-13
C00080,38,F,Mumbai,Salaried,52692.89,Gold,250000,2020-12-09
C00081,50,F,Kolkata,Self Employed,67791.67,Platinum,500000,2019-08-12
C00082,45,F,Delhi,Business Owner,61533.36,Signature,1000000,2021-03-05
C00083,55,F,Kolkata,Business Owner,76560.49,Gold,250000,2023-07-27
C00084,57,M,Jaipur,Salaried,55468.73,Platinum,500000,2019-03-24
C00085,33,M,Ahmedabad,Salaried,79995.2,Platinum,500000,2019-02-03
C00086,54,M,Delhi,Business Owner,62262.94,Gold,250000,2021-02-09
C00087,25,F,Mumbai,Student,53102.24,Gold,250000,2022-06-06
C00088,59,F,Mumbai,Business Owner,146177.73,Silver,100000,2021-02-02
C00089,50,M,Ahmedabad,Retired,43942.54,Platinum,500000,2019-09-06
C00090,50,F,Chennai,Business Owner,73492.33,Gold,250000,2023-05-06
C00091,37,F,Mumbai,Salaried,18898.53,Gold,250000,2020-06-29
C00092,63,M,Jaipur,Business Owner,68333.57,Gold,250000,2024-06-17
C00093,36,F,Mumbai,Business Owner,36962.44,Silver,100000,2022-05-03
C00094,39,M,Pune,Salaried,84630.2,Platinum,500000,2023-01-29
C00095,21,M,Jaipur,Salaried,15000.0,Platinum,500000,2024-05-22
C00096,42,M,Delhi,Salaried,85388.24,Silver,100000,2019-12-16
C00097,21,M,Pune,Salaried,75445.21,Signature,1000000,2019-10-30
C00098,48,F,Lucknow,Salaried,46743.05,Gold,250000,2022-05-24
C00099,27,M,Lucknow,Salaried,96005.47,Platinum,500000,2023-03-12
C00100,35,M,Lucknow,Business Owner,84131.1,Silver,100000,2023-07-13
C00101,37,M,Jaipur,Self Employed,50602.81,Silver,100000,2019-05-25
C00102,23,M,Pune,Business Owner,37553.56,Gold,250000,2022-03-15
C00103,28,M,Lucknow,Business Owner,114383.02,Gold,250000,2020-09-04
C00104,26,M,Kolkata,Salaried,129584.09,Gold,250000,2022-08-05
C00105,24,M,Ahmedabad,Self Employed,93924.53,Silver,100000,2019-04-28
C00106,22,M,Kolkata,Salaried,74356.12,Gold,250000,2022-11-16
C00107,24,F,Pune,Business Owner,78392.72,Silver,100000,2020-07-12
C00108,31,M,Delhi,Salaried,15000.0,Signature,1000000,2021-04-24
C00109,30,F,Delhi,Salaried,129910.24,Silver,100000,2022-04-06
C00110,29,M,Pune,Salaried,129519.76,Platinum,500000,2024-06-17
C00111,50,F,Bangalore,Salaried,53207.74,Signature,1000000,2023-01-22
C00112,60,F,Ahmedabad,Student,115150.75,Platinum,500000,2023-05-15
C00113,57,M,Lucknow,Retired,55371.81,Silver,100000,2019-01-05
C00114,45,F,Ahmedabad,Salaried,57023.25,Platinum,500000,2019-03-30
C00115,34,M,Jaipur,Salaried,77505.71,Gold,250000,2020-07-28
C00116,22,M,Hyderabad,Salaried,94172.06,Gold,250000,2023-06-28
C00117,26,F,Delhi,Business Owner,106441.66,Gold,250000,2023-03-04
C00118,59,M,Delhi,Self Employed,43574.09,Gold,250000,2019-06-06
C00119,47,M,Chennai,Business Owner,115293.14,Platinum,500000,2021-05-14
C00120,35,M,Chennai,Self Employed,82061.03,Platinum,500000,2022-07-08
C00121,22,M,Kolkata,Student,70817.94,Gold,250000,2021-03-04
C00122,30,M,Lucknow,Retired,65946.99,Silver,100000,2022-03-03
C00123,32,F,Chennai,Retired,61934.97,Platinum,500000,2020-11-13
C00124,25,F,Delhi,Business Owner,56804.07,Signature,1000000,2024-02-07
C00125,29,F,Delhi,Salaried,117795.6,Signature,1000000,2023-10-16
C00126,41,M,Jaipur,Salaried,54663.53,Silver,100000,2020-02-24
C00127,60,F,Kolkata,Business Owner,22497.8,Platinum,500000,2019-07-21
C00128,55,F,Pune,Salaried,112464.48,Gold,250000,2020-06-20
C00129,38,M,Bangalore,Salaried,95215.82,Gold,250000,2021-08-12
C00130,45,M,Delhi,Salaried,68845.25,Gold,250000,2020-12-10
C00131,63,F,Pune,Salaried,39484.23,Signature,1000000,2020-11-19
C00132,60,M,Hyderabad,Salaried,85500.08,Gold,250000,2023-11-28
C00133,39,M,Ahmedabad,Business Owner,56559.19,Gold,250000,2023-02-09
C00134,21,M,Pune,Salaried,15000.0,Platinum,500000,2022-04-13
C00135,50,M,Bangalore,Salaried,34674.15,Silver,100000,2021-07-13
C00136,30,M,Hyderabad,Retired,76111.05,Platinum,500000,2019-06-11
C00137,52,M,Hyderabad,Self Employed,98070.35,Silver,100000,2021-01-28
C00138,28,F,Bangalore,Self Employed,108146.65,Silver,100000,2022-06-16
C00139,28,F,Chennai,Retired,62790.24,Platinum,500000,2022-02-17
C00140,41,F,Hyderabad,Business Owner,58755.38,Gold,250000,2021-04-02
C00141,53,F,Kolkata,Salaried,79783.99,Gold,250000,2020-05-28
C00142,62,F,Chennai,Business Owner,32466.59,Platinum,500000,2020-12-07
C00143,58,F,Pune,Self Employed,51180.68,Platinum,500000,2024-03-05
C00144,37,F,Hyderabad,Self Employed,107549.54,Platinum,500000,2020-09-23
C00145,37,F,Hyderabad,Salaried,138354.36,Platinum,500000,2024-06-08
C00146,42,M,Mumbai,Salaried,15000.0,Platinum,500000,2019-01-04
C00147,31,M,Delhi,Salaried,73619.42,Platinum,500000,2019-02-10
C00148,58,M,Pune,Salaried,109362.76,Platinum,500000,2023-06-11
C00149,51,M,Delhi,Salaried,77680.89,Gold,250000,2021-03-31
C00150,48,M,Pune,Self Employed,99480.73,Platinum,500000,2023-05-01
C00151,56,M,Bangalore,Retired,63249.82,Signature,1000000,2019-07-06
C00152,44,M,Lucknow,Salaried,106227.77,Signature,1000000,2019-03-10
C00153,40,F,Mumbai,Business Owner,78506.74,Platinum,500000,2023-03-11
C00154,22,M,Delhi,Business Owner,61581.52,Silver,100000,2020-12-13
C00155,63,F,Bangalore,Salaried,41659.28,Silver,100000,2023-03-02
C00156,54,M,Delhi,Salaried,139087.36,Silver,100000,2023-06-25
C00157,30,F,Ahmedabad,Business Owner,76525.24,Silver,100000,2023-06-04
C00158,37,F,Ahmedabad,Salaried,128376.14,Gold,250000,2020-01-09
C00159,45,M,Lucknow,Business Owner,110645.36,Silver,100000,2023-04-11
C00160,37,M,Hyderabad,Salaried,100859.28,Silver,100000,2021-09-07
C00161,27,F,Chennai,Student,83399.19,Signature,1000000,2020-12-27
C00162,38,M,Ahmedabad,Salaried,63601.83,Gold,250000,2020-09-06
C00163,54,M,Ahmedabad,Business Owner,72389.74,Gold,250000,2021-09-09
C00164,49,F,Lucknow,Student,100399.48,Gold,250000,2022-11-21
C00165,22,M,Delhi,Salaried,91401.99,Platinum,500000,2021-11-28
C00166,64,M,Jaipur,Self Employed,71410.52,Gold,250000,2023-01-03
C00167,45,M,Ahmedabad,Salaried,78609.22,Platinum,500000,2023-09-09
C00168,24,M,Delhi,Retired,15000.0,Platinum,500000,2019-10-20
C00169,35,F,Kolkata,Self Employed,15000.0,Gold,250000,2022-03-09
C00170,63,F,Ahmedabad,Business Owner,33778.13,Gold,250000,2021-03-17
C00171,33,F,Lucknow,Salaried,65524.33,Platinum,500000,2022-08-26
C00172,46,F,Pune,Student,50217.6,Silver,100000,2020-05-20
C00173,43,F,Bangalore,Salaried,112615.13,Gold,250000,2019-08-04
C00174,45,F,Jaipur,Salaried,52877.61,Gold,250000,2024-04-17
C00175,48,F,Ahmedabad,Retired,51861.17,Platinum,500000,2019-06-19
C00176,31,M,Pune,Salaried,69071.48,Silver,100000,2021-09-10
C00177,25,F,Kolkata,Retired,71367.76,Signature,1000000,2023-09-08
C00178,60,F,Lucknow,Business Owner,51070.24,Platinum,500000,2019-11-14
C00179,60,M,Ahmedabad,Salaried,90456.74,Silver,100000,2022-07-09
C00180,61,F,Lucknow,Salaried,125401.22,Silver,100000,2020-07-10
C00181,47,M,Hyderabad,Salaried,50524.26,Platinum,500000,2021-04-05
C00182,52,F,Mumbai,Student,84416.86,Silver,100000,2023-08-21
C00183,34,F,Delhi,Business Owner,45676.72,Silver,100000,2023-03-29
C00184,60,M,Bangalore,Salaried,95867.89,Silver,100000,2020-11-30
C00185,39,M,Kolkata,Salaried,77481.51,Signature,1000000,2024-01-29
C00186,24,M,Delhi,Self Employed,117323.6,Silver,100000,2020-04-28
C00187,37,F,Chennai,Business Owner,15701.23,Gold,250000,2019-07-29
C00188,32,F,Bangalore,Salaried,98950.45,Silver,100000,2021-06-25
C00189,43,M,Hyderabad,Business Owner,18970.19,Signature,1000000,2022-01-27
C00190,49,F,Chennai,Self Employed,57805.21,Gold,250000,2021-06-02
C00191,47,M,Bangalore,Salaried,15000.0,Silver,100000,2021-07-22
C00192,45,F,Ahmedabad,Salaried,52999.92,Platinum,500000,2023-12-15
C00193,45,M,Hyderabad,Business Owner,80281.76,Platinum,500000,2023-09-06
C00194,64,F,Chennai,Self Employed,83702.6,Silver,100000,2024-01-26
C00195,45,M,Pune,Business Owner,27216.23,Gold,250000,2024-05-21
C00196,22,F,Delhi,Salaried,88184.95,Platinum,500000,2020-01-30
C00197,38,M,Jaipur,Student,41889.34,Signature,1000000,2019-06-15
C00198,58,M,Ahmedabad,Salaried,118564.06,Signature,1000000,2021-02-17
C00199,32,F,Mumbai,Salaried,142060.79,Platinum,500000,2020-12-14
C00200,22,M,Delhi,Student,69321.91,Gold,250000,2023-11-04
C00201,46,F,Mumbai,Salaried,39951.4,Gold,250000,2023-09-06
C00202,64,M,Pune,Business Owner,61566.99,Silver,100000,2024-06-17
C00203,29,F,Chennai,Salaried,71788.91,Platinum,500000,2022-07-11
C00204,27,M,Lucknow,Self Employed,50591.9,Gold,250000,2019-07-27
C00205,23,M,Bangalore,Salaried,120569.45,Gold,250000,2023-03-28
C00206,56,F,Hyderabad,Salaried,56191.14,Platinum,500000,2023-10-23
C00207,64,M,Bangalore,Salaried,121826.3,Silver,100000,2022-10-07
C00208,55,M,Delhi,Student,83089.71,Silver,100000,2024-05-27
C00209,50,M,Chennai,Business Owner,67247.22,Platinum,500000,2021-03-15
C00210,52,F,Chennai,Student,85083.69,Gold,250000,2022-06-27
C00211,54,F,Bangalore,Business Owner,87993.52,Signature,1000000,2019-07-05
C00212,60,M,Ahmedabad,Salaried,104006.4,Platinum,500000,2023-10-27
C00213,50,M,Pune,Business Owner,53490.85,Signature,1000000,2020-01-10
C00214,34,F,Pune,Self Employed,49851.3,Gold,250000,2022-01-12
C00215,45,M,Hyderabad,Business Owner,31159.56,Platinum,500000,2024-05-29
C00216,31,M,Lucknow,Salaried,104824.8,Platinum,500000,2020-09-21
C00217,32,F,Jaipur,Salaried,62222.49,Silver,100000,2023-09-03
C00218,40,F,Kolkata,Business Owner,107010.61,Gold,250000,2022-02-04
C00219,64,M,Mumbai,Retired,102843.51,Gold,250000,2022-06-28
C00220,29,M,Delhi,Salaried,65163.75,Gold,250000,2021-11-09
C00221,26,F,Ahmedabad,Self Employed,75728.13,Gold,250000,2019-10-03
C00222,54,F,Ahmedabad,Business Owner,43163.1,Silver,100000,2023-12-26
C00223,43,M,Mumbai,Salaried,43865.99,Silver,100000,2024-01-11
C00224,28,F,Pune,Student,82101.7,Signature,1000000,2019-05-09
C00225,42,F,Mumbai,Salaried,94155.78,Signature,1000000,2020-03-02
C00226,46,F,Ahmedabad,Self Employed,33430.82,Platinum,500000,2021-01-13
C00227,24,F,Jaipur,Salaried,37700.18,Gold,250000,2021-12-12
C00228,48,M,Jaipur,Student,90052.24,Silver,100000,2020-12-04
C00229,45,M,Mumbai,Salaried,79640.72,Gold,250000,2020-05-03
C00230,24,F,Jaipur,Salaried,82657.62,Gold,250000,2023-01-17
C00231,31,M,Lucknow,Salaried,25927.61,Gold,250000,2020-12-25
C00232,41,M,Delhi,Business Owner,43025.15,Gold,250000,2020-08-27
C00233,55,M,Kolkata,Student,119260.45,Gold,250000,2021-07-30
C00234,22,F,Jaipur,Salaried,100294.51,Gold,250000,2020-09-20
C00235,54,F,Pune,Self Employed,21079.8,Gold,250000,2019-02-12
C00236,64,F,Hyderabad,Student,75129.13,Signature,1000000,2021-10-01
C00237,35,M,Bangalore,Salaried,73126.03,Silver,100000,2021-02-27
C00238,24,F,Bangalore,Business Owner,68122.21,Silver,100000,2023-05-07
C00239,62,F,Hyderabad,Self Employed,115435.53,Silver,100000,2020-10-05
C00240,30,F,Ahmedabad,Self Employed,93192.5,Platinum,500000,2019-06-08
C00241,62,F,Ahmedabad,Business Owner,65684.63,Silver,100000,2024-01-20
C00242,33,M,Jaipur,Self Employed,93886.26,Gold,250000,2022-02-15
C00243,35,F,Delhi,Salaried,27921.84,Platinum,500000,2020-08-06
C00244,57,F,Hyderabad,Self Employed,122487.3,Silver,100000,2020-10-25
C00245,38,M,Bangalore,Student,52967.35,Gold,250000,2020-08-03
C00246,53,M,Bangalore,Business Owner,82965.78,Silver,100000,2020-10-23
C00247,52,M,Mumbai,Salaried,30207.38,Gold,250000,2020-03-16
C00248,27,M,Hyderabad,Self Employed,92581.06,Gold,250000,2024-02-02
C00249,31,F,Chennai,Salaried,79080.56,Gold,250000,2022-04-05
C00250,53,M,Pune,Salaried,53975.55,Gold,250000,2019-03-14
C00251,24,M,Kolkata,Salaried,107156.5,Gold,250000,2020-03-03
C00252,28,M,Lucknow,Salaried,63552.02,Gold,250000,2021-10-10
C00253,26,F,Chennai,Salaried,65694.63,Gold,250000,2024-01-01
C00254,64,M,Jaipur,Salaried,54140.14,Silver,100000,2020-03-28
C00255,62,M,Ahmedabad,Self Employed,66663.22,Platinum,500000,2020-10-18
C00256,36,M,Ahmedabad,Salaried,42882.77,Gold,250000,2022-07-26
C00257,40,M,Pune,Salaried,72189.9,Platinum,500000,2019-05-29
C00258,59,F,Pune,Salaried,93402.35,Platinum,500000,2021-10-09
C00259,34,M,Jaipur,Business Owner,61275.82,Silver,100000,2019-12-27
C00260,31,M,Chennai,Student,57765.31,Platinum,500000,2023-09-22
C00261,26,M,Delhi,Salaried,69817.87,Signature,1000000,2022-01-29
C00262,38,F,Pune,Salaried,95154.72,Gold,250000,2022-03-27
C00263,27,M,Bangalore,Salaried,54786.31,Gold,250000,2020-07-31
C00264,40,F,Jaipur,Business Owner,62909.36,Gold,250000,2019-09-23
C00265,53,F,Chennai,Business Owner,69249.19,Gold,250000,2021-04-01
C00266,61,M,Ahmedabad,Business Owner,94532.99,Platinum,500000,2023-08-04
C00267,24,F,Chennai,Salaried,85232.73,Gold,250000,2023-08-04
C00268,26,F,Hyderabad,Salaried,71619.65,Silver,100000,2019-02-12
C00269,25,F,Ahmedabad,Salaried,63596.71,Silver,100000,2023-12-08
C00270,43,M,Bangalore,Salaried,114721.78,Silver,100000,2022-01-27
C00271,36,M,Chennai,Salaried,70470.6,Signature,1000000,2021-02-23
C00272,56,F,Kolkata,Student,48138.05,Gold,250000,2022-06-08
C00273,55,M,Kolkata,Salaried,34896.61,Platinum,500000,2023-10-31
C00274,22,M,Kolkata,Self Employed,15940.59,Silver,100000,2020-02-09
C00275,59,F,Mumbai,Salaried,24017.94,Platinum,500000,2020-05-07
C00276,52,M,Kolkata,Student,100988.64,Gold,250000,2021-09-21
C00277,46,M,Pune,Salaried,91970.35,Platinum,500000,2023-10-23
C00278,62,M,Ahmedabad,Salaried,32851.13,Platinum,500000,2019-04-15
C00279,21,M,Hyderabad,Self Employed,79755.3,Silver,100000,2019-08-20
C00280,42,F,Hyderabad,Business Owner,64998.28,Gold,250000,2019-03-20
C00281,39,F,Bangalore,Salaried,51869.83,Silver,100000,2019-03-28
C00282,44,F,Lucknow,Business Owner,67725.48,Silver,100000,2019-05-28
C00283,56,M,Lucknow,Salaried,106012.42,Gold,250000,2020-06-23
C00284,50,M,Pune,Salaried,50293.17,Platinum,500000,2020-06-03
C00285,48,M,Mumbai,Salaried,75220.56,Silver,100000,2019-11-25
C00286,56,M,Jaipur,Business Owner,77372.02,Gold,250000,2023-06-02
C00287,30,M,Mumbai,Salaried,50694.45,Signature,1000000,2020-01-09
C00288,35,M,Jaipur,Salaried,97835.2,Silver,100000,2022-11-26
C00289,34,F,Bangalore,Student,131686.21,Signature,1000000,2020-02-18
C00290,41,M,Hyderabad,Student,36903.75,Silver,100000,2023-04-17
C00291,61,F,Ahmedabad,Business Owner,133868.4,Silver,100000,2023-07-20
C00292,43,M,Pune,Retired,90660.34,Gold,250000,2019-07-22
C00293,42,F,Mumbai,Salaried,121896.73,Silver,100000,2019-08-01
C00294,43,M,Kolkata,Business Owner,79005.76,Platinum,500000,2020-04-05
C00295,23,F,Jaipur,Self Employed,86965.29,Gold,250000,2024-01-05
C00296,28,F,Kolkata,Student,17177.12,Gold,250000,2023-08-07
C00297,24,M,Kolkata,Self Employed,63729.3,Platinum,500000,2023-02-23
C00298,59,M,Jaipur,Business Owner,44484.39,Gold,250000,2021-12-25
C00299,42,M,Mumbai,Self Employed,76928.0,Platinum,500000,2024-06-20
C00300,40,F,Pune,Student,77092.74,Silver,100000,2023-11-14
C00301,57,F,Bangalore,Salaried,61372.27,Gold,250000,2024-04-13
C00302,58,M,Pune,Salaried,41752.31,Gold,250000,2021-05-20
C00303,40,M,Lucknow,Business Owner,99414.55,Gold,250000,2023-03-19
C00304,24,F,Mumbai,Business Owner,62323.56,Silver,100000,2020-06-19
C00305,39,F,Lucknow,Self Employed,45454.03,Silver,100000,2022-02-06
C00306,51,M,Chennai,Salaried,69898.77,Platinum,500000,2019-01-19
C00307,53,F,Jaipur,Retired,67519.58,Gold,250000,2021-02-01
C00308,53,M,Pune,Retired,66347.57,Gold,250000,2022-07-07
C00309,31,M,Delhi,Business Owner,79113.41,Signature,1000000,2023-11-30
C00310,26,F,Bangalore,Salaried,28699.25,Gold,250000,2024-03-15
C00311,46,F,Lucknow,Salaried,85408.0,Gold,250000,2019-09-18
C00312,59,M,Jaipur,Salaried,54018.97,Signature,1000000,2021-07-19
C00313,61,F,Jaipur,Retired,80643.35,Silver,100000,2023-04-16
C00314,50,M,Hyderabad,Salaried,37064.13,Silver,100000,2020-09-09
C00315,48,M,Chennai,Salaried,37922.48,Platinum,500000,2020-08-04
C00316,40,M,Chennai,Salaried,15000.0,Gold,250000,2021-05-24
C00317,47,M,Ahmedabad,Business Owner,92105.32,Silver,100000,2023-11-19
C00318,27,M,Jaipur,Business Owner,61560.17,Gold,250000,2023-08-17
C00319,41,M,Bangalore,Retired,93827.94,Silver,100000,2021-09-10
C00320,32,M,Kolkata,Salaried,32371.32,Silver,100000,2020-02-29
C00321,62,M,Mumbai,Salaried,77916.83,Gold,250000,2023-08-15
C00322,63,M,Mumbai,Salaried,52285.66,Silver,100000,2023-06-10
C00323,26,F,Mumbai,Salaried,62900.73,Silver,100000,2019-01-22
C00324,36,F,Ahmedabad,Self Employed,104508.72,Gold,250000,2020-09-28
C00325,58,M,Hyderabad,Student,64513.11,Silver,100000,2024-01-29
C00326,46,F,Ahmedabad,Salaried,111246.29,Silver,100000,2024-03-16
C00327,35,F,Mumbai,Salaried,61245.66,Signature,1000000,2021-11-15
C00328,23,M,Bangalore,Salaried,23104.28,Signature,1000000,2022-01-25
C00329,43,M,Lucknow,Salaried,57209.27,Platinum,500000,2019-11-03
C00330,48,F,Hyderabad,Business Owner,104453.37,Platinum,500000,2020-04-29
C00331,35,F,Mumbai,Salaried,72035.67,Silver,100000,2020-04-12
C00332,23,M,Ahmedabad,Business Owner,95583.21,Gold,250000,2019-10-10
C00333,48,F,Kolkata,Salaried,53604.78,Platinum,500000,2024-03-30
C00334,26,F,Hyderabad,Retired,54528.49,Signature,1000000,2023-12-16
C00335,41,M,Hyderabad,Salaried,42324.62,Signature,1000000,2023-03-10
C00336,25,M,Chennai,Student,105211.81,Gold,250000,2019-12-19
C00337,25,M,Mumbai,Student,84513.18,Silver,100000,2023-05-15
C00338,64,M,Bangalore,Student,62937.53,Silver,100000,2023-10-18
C00339,50,F,Bangalore,Salaried,86374.52,Platinum,500000,2019-07-09
C00340,61,F,Jaipur,Salaried,44803.57,Platinum,500000,2019-12-04
C00341,42,F,Chennai,Self Employed,93871.09,Platinum,500000,2024-02-26
C00342,54,M,Hyderabad,Salaried,88559.92,Silver,100000,2021-07-24
C00343,40,M,Lucknow,Business Owner,87600.81,Silver,100000,2019-07-10
C00344,58,M,Kolkata,Salaried,55752.89,Gold,250000,2020-06-16
C00345,34,F,Mumbai,Self Employed,64037.83,Platinum,500000,2023-11-23
C00346,26,M,Mumbai,Salaried,79004.67,Gold,250000,2020-02-11
C00347,58,F,Chennai,Salaried,52831.09,Silver,100000,2023-08-10
C00348,60,F,Pune,Student,30369.81,Platinum,500000,2019-06-03
C00349,39,F,Hyderabad,Business Owner,95302.43,Signature,1000000,2023-10-08
C00350,39,M,Kolkata,Business Owner,84856.39,Platinum,500000,2020-02-02
C00351,60,M,Jaipur,Salaried,18993.85,Platinum,500000,2021-03-31
C00352,24,F,Pune,Student,85849.09,Platinum,500000,2020-05-28
C00353,36,M,Mumbai,Business Owner,92029.14,Silver,100000,2021-11-24
C00354,41,M,Delhi,Self Employed,50520.06,Silver,100000,2022-07-23
C00355,29,F,Ahmedabad,Business Owner,77954.67,Platinum,500000,2020-12-28
C00356,60,M,Jaipur,Salaried,89257.92,Silver,100000,2023-05-31
C00357,49,M,Chennai,Salaried,112965.1,Gold,250000,2024-01-21
C00358,23,M,Hyderabad,Retired,61854.27,Gold,250000,2019-07-13
C00359,28,M,Pune,Salaried,51320.52,Silver,100000,2024-04-20
C00360,28,F,Delhi,Business Owner,75838.22,Silver,100000,2019-12-28
C00361,34,M,Delhi,Salaried,24858.39,Silver,100000,2020-10-14
C00362,28,M,Hyderabad,Student,92801.68,Silver,100000,2021-06-10
C00363,62,M,Delhi,Salaried,81320.52,Gold,250000,2023-04-22
