customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
C00042,6,31,291237.58,4,2,2,422,New
C00043,7,31,272728.06,4,2,2,422,New
C00044,20,32,182810.03,2,2,1,221,At Risk
C00045,12,37,266092.03,3,4,2,342,Loyal
C00046,33,41,279900.42,2,5,2,252,Regular
C00047,75,32,396309.41,1,2,5,125,At Risk
C00048,36,41,318432.49,1,5,3,153,Regular
C00049,18,39,338413.22,3,4,4,344,Loyal
C00050,9,35,318425.13,4,3,3,433,Loyal
C00051,22,32,243020.47,2,2,1,221,At Risk
C00052,44,39,296299.96,1,4,3,143,Regular
C00053,36,41,290984.74,1,5,2,152,Regular
C00054,5,42,393429.81,5,5,5,555,Champions
C00055,1,31,267585.81,5,2,2,522,New
C00056,9,42,328659.51,4,5,3,453,Loyal
C00057,6,36,340772.56,4,3,4,434,Loyal
C00058,42,37,239449.73,1,4,1,141,Regular
C00059,23,33,421382.13,2,2,5,225,At Risk
C00060,7,29,284039.27,4,1,2,412,New
C00061,6,35,341504.82,4,3,4,434,Loyal
C00062,7,34,345380.5,4,2,4,424,New
C00063,3,30,239466.7,5,1,1,511,New
C00064,23,33,281206.1,2,2,2,222,At Risk
C00065,4,35,436316.74,5,3,5,535,Loyal
C00066,26,30,224292.11000000002,2,1,1,211,At Risk
C00067,7,31,297861.54,4,2,3,423,New
C00068,22,31,382625.14,2,2,4,224,At Risk
C00069,1,34,283693.38,5,2,2,522,New
C00070,32,30,169569.13999999998,2,1,1,211,At Risk
C00071,33,36,338948.09,2,3,4,234,Regular
C00072,90,22,148932.4,1,1,1,111,At Risk
C00073,31,28,222669.2,2,1,1,211,At Risk
C00074,27,38,450801.7,2,4,5,245,Regular
C00075,52,40,289402.97,1,4,2,142,Regular
C00076,48,25,232609.26,1,1,1,111,At Risk
C00077,3,37,285546.36,5,4,2,542,Loyal
C00078,82,29,217403.5,1,1,1,111,At Risk
C00079,13,29,263547.57,3,1,2,312,Regular
C00080,5,30,267191.25,5,1,2,512,New
C00081,9,37,297631.21,4,4,3,443,Loyal
C00082,6,39,466939.5,4,4,5,445,Champions
C00083,1,32,293188.0,5,2,3,523,New
C00084,8,43,474802.52,4,5,5,455,Champions
C00085,19,38,277189.97,3,4,2,342,Loyal
C00086,4,33,330057.71,5,2,3,523,New
C00087,11,41,322938.2,4,5,3,453,Loyal
C00088,42,42,236419.1,1,5,1,151,Regular
C00089,17,45,477103.57,3,5,5,355,Loyal
C00090,31,41,282652.91000000003,2,5,2,252,Regular
C00091,62,32,482629.93,1,2,5,125,At Risk
C00092,20,31,252916.14,2,2,2,222,At Risk
C00093,3,30,246045.98,5,1,2,512,New
C00094,7,39,304657.64,4,4,3,443,Loyal
C00095,17,34,394406.55,3,2,5,325,Regular
C00096,6,39,423626.9,4,4,5,445,Champions
C00097,17,39,350925.63,3,4,4,344,Loyal
C00098,21,38,349170.17,2,4,4,244,Regular
C00099,1,41,344441.29,5,5,4,554,Champions
C00100,15,30,246198.22999999998,3,1,2,312,Regular
C00101,21,36,272090.2,2,3,2,232,Regular
C00102,21,37,398274.6,2,4,5,245,Regular
C00103,9,32,358868.99,4,2,4,424,New
C00104,4,34,364189.95,5,2,4,524,New
C00105,11,42,353016.5,4,5,4,454,Champions
C00106,121,29,214213.54,1,1,1,111,At Risk
C00107,7,29,383539.26,4,1,4,414,New
C00108,5,31,344182.16,5,2,4,524,New
C00109,10,30,220558.75,4,1,1,411,New
C00110,48,31,142784.1,1,2,1,121,At Risk
C00111,8,37,198399.07,4,4,1,441,Loyal
C00112,10,41,344656.22,4,5,4,454,Champions
C00113,31,35,451184.35,2,3,5,235,Regular
C00114,31,40,321930.92,2,4,3,243,Regular
C00115,21,43,405270.73,2,5,5,255,Regular
C00116,83,28,308725.45,1,1,3,113,At Risk
C00117,66,37,218974.85,1,4,1,141,Regular
C00118,34,29,305730.71,2,1,3,213,At Risk
C00119,9,33,379525.53,4,2,4,424,New
C00120,4,32,327409.13,5,2,3,523,New
C00121,17,31,366332.67,3,2,4,324,Regular
C00122,25,36,326454.89999999997,2,3,3,233,Regular
C00123,4,28,316503.62,5,1,3,513,New
C00124,33,40,412603.16,2,4,5,245,Regular
C00125,10,42,384695.24,4,5,4,454,Champions
C00126,27,46,628327.1,2,5,5,255,Regular
C00127,2,27,176282.78,5,1,1,511,New
C00128,1,46,416713.29,5,5,5,555,Champions
C00129,1,42,425338.83999999997,5,5,5,555,Champions
C00130,27,39,303902.49,2,4,3,243,Regular
C00131,34,38,373453.33,2,4,4,244,Regular
C00132,1,34,307638.3,5,2,3,523,New
C00133,49,36,285818.08,1,3,2,132,Regular
C00134,11,35,304328.1,4,3,3,433,Loyal
C00135,10,32,317940.52999999997,4,2,3,423,New
C00136,16,33,255033.58000000002,3,2,2,322,Regular
C00137,2,48,391453.18,5,5,5,555,Champions
C00138,15,38,261864.62,3,4,2,342,Loyal
C00139,22,34,247755.87,2,2,2,222,At Risk
C00140,51,40,408691.62,1,4,5,145,Regular
C00141,20,33,293633.1,2,2,3,223,At Risk
C00142,4,45,248391.94,5,5,2,552,Loyal
C00143,16,34,430314.9,3,2,5,325,Regular
C00144,2,20,169976.14,5,1,1,511,New
C00145,12,29,201002.18,3,1,1,311,Regular
C00146,62,37,234889.18,1,4,1,141,Regular
C00147,1,44,369332.2,5,5,4,554,Champions
C00148,37,36,285562.77,1,3,2,132,Regular
C00149,6,37,373451.33,4,4,4,444,Champions
C00150,11,44,284118.81,4,5,2,452,Loyal
C00151,45,40,345423.98,1,4,4,144,Regular
C00152,9,31,333323.86,4,2,4,424,New
C00153,3,29,287285.97000000003,5,1,2,512,New
C00154,8,38,347781.06,4,4,4,444,Champions
C00155,25,23,170549.16,2,1,1,211,At Risk
C00156,35,38,212099.69,1,4,1,141,Regular
C00157,11,33,243678.34,4,2,1,421,New
C00158,25,31,250448.62,2,2,2,222,At Risk
C00159,16,40,280963.72000000003,3,4,2,342,Loyal
C00160,4,44,408303.55,5,5,5,555,Champions
C00161,35,37,325419.89,1,4,3,143,Regular
C00162,10,40,254218.66,4,4,2,442,Loyal
C00163,5,34,260869.44,5,2,2,522,New
C00164,22,47,514746.93,2,5,5,255,Regular
C00165,6,26,238056.07,4,1,1,411,New
C00166,4,36,278568.19,5,3,2,532,Loyal
C00167,3,42,404984.66,5,5,5,555,Champions
C00168,5,40,305184.96,5,4,3,543,Loyal
C00169,139,23,185633.15,1,1,1,111,At Risk
C00170,14,42,431864.13,3,5,5,355,Loyal
C00171,3,41,393164.86,5,5,5,555,Champions
C00172,42,31,283359.3,1,2,2,122,At Risk
C00173,27,35,243415.33,2,3,1,231,Regular
C00174,7,32,323681.6,4,2,3,423,New
C00175,20,38,334472.99,2,4,4,244,Regular
C00176,12,21,86611.59,3,1,1,311,Regular
C00177,4,29,260328.87,5,1,2,512,New
C00178,38,36,413157.89,1,3,5,135,Regular
C00179,14,32,225115.02,3,2,1,321,Regular
C00180,22,37,555294.71,2,4,5,245,Regular
C00181,9,29,193794.93,4,1,1,411,New
C00182,4,37,294939.63,5,4,3,543,Loyal
C00183,3,43,363312.04000000004,5,5,4,554,Champions
C00184,6,27,321030.7,4,1,3,413,New
C00185,13,40,383635.64,3,4,4,344,Loyal
C00186,7,40,406350.0,4,4,5,445,Champions
C00187,2,33,291648.09,5,2,3,523,New
C00188,39,43,401907.94,1,5,5,155,Regular
C00189,9,38,302265.64,4,4,3,443,Loyal
C00190,36,39,302902.99,1,4,3,143,Regular
C00191,7,38,324277.79000000004,4,4,3,443,Loyal
C00192,30,42,433524.43,2,5,5,255,Regular
C00193,46,31,192125.63999999998,1,2,1,121,At Risk
C00194,11,31,413760.05,4,2,5,425,New
C00195,5,29,248924.5,5,1,2,512,New
C00196,29,36,224366.51,2,3,1,231,Regular
C00197,9,23,125846.47,4,1,1,411,New
C00198,13,34,378386.06,3,3,4,334,Loyal
C00199,32,30,220208.46,2,1,1,211,At Risk
C00200,34,35,261812.91999999998,2,3,2,232,Regular
C00201,97,41,364593.61,1,5,4,154,Regular
C00202,38,44,442320.19,1,5,5,155,Regular
C00203,3,34,195208.05,5,3,1,531,Loyal
C00204,6,41,319972.85,4,5,3,453,Loyal
C00205,18,34,245287.44,3,3,2,332,Loyal
C00206,21,30,335596.92,2,1,4,214,At Risk
C00207,55,35,396358.85,1,3,5,135,Regular
C00208,1,41,436714.45,5,5,5,555,Champions
C00209,59,34,155244.63,1,3,1,131,Regular
C00210,40,44,349810.43,1,5,4,154,Regular
C00211,16,28,279800.17,3,1,2,312,Regular
C00212,2,29,363867.49,5,1,4,514,New
C00213,4,30,242731.58,5,1,1,511,New
C00214,11,30,258159.98,4,1,2,412,New
C00215,34,27,196948.26,2,1,1,211,At Risk
C00216,8,29,364108.04000000004,4,1,4,414,New
C00217,16,29,274176.81,3,1,2,312,Regular
C00218,34,39,348635.21,2,4,4,244,Regular
C00219,17,21,148711.6,3,1,1,311,Regular
C00220,5,37,312908.25,5,4,3,543,Loyal
C00221,26,39,272245.62,2,4,2,242,Regular
C00222,10,30,195817.62,4,1,1,411,New
C00223,15,46,316791.16,3,5,3,353,Loyal
C00224,5,35,368027.48,5,3,4,534,Loyal
C00225,52,26,304484.81,1,1,3,113,At Risk
C00226,12,35,327823.24,3,3,3,333,Loyal
C00227,11,34,255663.02,4,3,2,432,Loyal
C00228,18,39,277204.7,3,4,2,342,Loyal
C00229,4,38,401921.85,5,4,5,545,Champions
C00230,20,26,326863.13,2,1,3,213,At Risk
C00231,16,27,203742.93,3,1,1,311,Regular
C00232,7,34,218209.27,4,3,1,431,Loyal
C00233,4,35,308275.19,5,3,3,533,Loyal
C00234,14,35,287626.05,3,3,2,332,Loyal
C00235,23,39,407143.85,2,4,5,245,Regular
C00236,63,31,289200.66,1,2,2,122,At Risk
C00237,4,36,287152.22000000003,5,3,2,532,Loyal
C00238,36,37,411724.43,1,4,5,145,Regular
C00239,2,36,452558.39,5,3,5,535,Loyal
C00240,5,36,321186.73,5,3,3,533,Loyal
C00241,9,33,299158.02,4,2,3,423,New
C00242,169,34,428367.77,1,3,5,135,Regular
C00243,24,39,329837.01,2,4,3,243,Regular
C00244,2,33,232763.0,5,2,1,521,New
C00245,2,40,281993.76,5,4,2,542,Loyal
C00246,1,36,360850.87,5,3,4,534,Loyal
C00247,14,45,526895.08,3,5,5,355,Loyal
C00248,18,33,312820.52999999997,3,2,3,323,Regular
C00249,17,47,313421.91,3,5,3,353,Loyal
C00250,14,33,226085.02,3,2,1,321,Regular
C00251,68,29,176786.42,1,1,1,111,At Risk
C00252,32,30,181610.74,2,1,1,211,At Risk
C00253,16,40,383127.51,3,4,4,344,Loyal
C00254,12,37,273217.79,3,4,2,342,Loyal
C00255,18,38,382218.41,3,4,4,344,Loyal
C00256,53,28,384427.31,1,1,4,114,At Risk
C00257,7,34,301091.17,4,3,3,433,Loyal
C00258,14,28,267233.04,3,1,2,312,Regular
C00259,3,36,319360.2,5,3,3,533,Loyal
C00260,9,42,573659.19,4,5,5,455,Champions
C00261,22,37,352083.97000000003,2,4,4,244,Regular
C00262,1,38,369149.75,5,4,4,544,Champions
C00263,19,39,291489.87,3,4,2,342,Loyal
C00264,16,38,363703.48,3,4,4,344,Loyal
C00265,35,28,348958.71,1,1,4,114,At Risk
C00266,2,45,483579.57,5,5,5,555,Champions
C00267,10,31,241637.74,4,2,1,421,New
C00268,10,35,272674.44,4,3,2,432,Loyal
C00269,16,35,292190.2,3,3,3,333,Loyal
C00270,42,34,308254.33,1,3,3,133,Regular
C00271,7,37,344764.75,4,4,4,444,Champions
C00272,9,39,332233.86,4,4,3,443,Loyal
C00273,35,36,201021.13,1,3,1,131,Regular
C00274,6,28,303625.95,4,1,3,413,New
C00275,24,28,315595.01,2,1,3,213,At Risk
C00276,17,38,319426.27,3,4,3,343,Loyal
C00277,1,31,345491.22000000003,5,2,4,524,New
C00278,17,29,266571.62,3,1,2,312,Regular
C00279,11,54,400889.97,4,5,5,455,Champions
C00280,2,28,300108.54000000004,5,1,3,513,New
C00281,10,38,412110.58,4,4,5,445,Champions
C00282,22,30,315131.02999999997,2,1,3,213,At Risk
C00283,1,43,445234.09,5,5,5,555,Champions
C00284,6,33,315234.72,4,2,3,423,New
C00285,4,44,452424.58,5,5,5,555,Champions
C00286,6,43,299433.47,4,5,3,453,Loyal
C00287,14,43,398442.71,3,5,5,355,Loyal
C00288,33,38,292912.56,2,4,3,243,Regular
C00289,33,30,293184.14999999997,2,1,3,213,At Risk
C00290,4,31,268888.82,5,2,2,522,New
C00291,18,39,364004.8,3,4,4,344,Loyal
C00292,33,39,341654.01,2,4,4,244,Regular
C00293,6,37,300750.28,4,4,3,443,Loyal
C00294,4,30,249270.03,5,1,2,512,New
C00295,11,43,412504.42,4,5,5,455,Champions
C00296,24,41,255911.63999999998,2,5,2,252,Regular
C00297,29,31,291364.61,2,2,2,222,At Risk
C00298,8,30,373154.89,4,1,4,414,New
C00299,13,31,321716.18,3,2,3,323,Regular
C00300,25,47,376093.77,2,5,4,254,Regular
C00301,19,33,265130.02,3,2,2,322,Regular
C00302,36,45,579317.46,1,5,5,155,Regular
C00303,10,40,239322.69,4,4,1,441,Loyal
C00304,82,24,169011.18,1,1,1,111,At Risk
C00305,48,38,433246.51,1,4,5,145,Regular
C00306,2,33,265967.75,5,2,2,522,New
C00307,22,36,260916.29,2,3,2,232,Regular
C00308,1,27,300910.93,5,1,3,513,New
C00309,32,30,310979.78,2,1,3,213,At Risk
C00310,13,42,387227.09,3,5,4,354,Loyal
C00311,7,24,134449.54,4,1,1,411,New
C00312,17,31,392639.83,3,2,5,325,Regular
C00313,70,35,341960.04,1,3,4,134,Regular
C00314,56,32,337731.16000000003,1,2,4,124,At Risk
C00315,38,30,231585.93,1,1,1,111,At Risk
C00316,9,33,268767.07,4,2,2,422,New
C00317,12,30,370454.63,3,1,4,314,Regular
C00318,4,44,304405.17,5,5,3,553,Loyal
C00319,22,36,517588.82,2,3,5,235,Regular
C00320,41,40,382440.88,1,4,4,144,Regular
C00321,99,37,258169.21,1,4,2,142,Regular
C00322,8,26,342949.55,4,1,4,414,New
C00323,8,36,273455.94,4,3,2,432,Loyal
C00324,17,28,189087.07,3,1,1,311,Regular
C00325,7,25,173267.96,4,1,1,411,New
C00326,4,41,440810.56,5,5,5,555,Champions
C00327,20,41,376516.52,2,5,4,254,Regular
C00328,65,31,351404.58999999997,1,2,4,124,At Risk
C00329,7,41,351366.49,4,5,4,454,Champions
C00330,19,43,530933.74,3,5,5,355,Loyal
C00331,1,32,251917.66999999998,5,2,2,522,New
C00332,4,40,362798.6,5,4,4,544,Champions
C00333,1,36,388604.5,5,3,4,534,Loyal
C00334,20,30,215376.08,2,1,1,211,At Risk
C00335,11,30,294870.95,4,1,3,413,New
C00336,8,33,274365.43,4,2,2,422,New
C00337,49,30,291653.73,1,1,3,113,At Risk
C00338,2,28,191590.46,5,1,1,511,New
C00339,13,42,503598.79000000004,3,5,5,355,Loyal
C00340,43,31,186562.16999999998,1,2,1,121,At Risk
C00341,32,42,396449.47,2,5,5,255,Regular
C00342,19,44,351133.0,3,5,4,354,Loyal
C00343,17,40,509116.72000000003,3,4,5,345,Loyal
C00344,59,34,427276.64,1,3,5,135,Regular
C00345,114,31,338668.33999999997,1,2,4,124,At Risk
C00346,13,29,211276.96,3,1,1,311,Regular
C00347,60,30,341613.69,1,1,4,114,At Risk
C00348,3,28,243379.68,5,1,1,511,New
C00349,8,29,388828.62,4,1,4,414,New
C00350,8,28,249633.85,4,1,2,412,New
C00351,34,47,363692.17,2,5,4,254,Regular
C00352,3,30,251103.62,5,1,2,512,New
C00353,11,38,426435.68,4,4,5,445,Champions
C00354,20,31,427336.8,2,2,5,225,At Risk
C00355,5,29,243307.14,5,1,1,511,New
C00356,2,31,333140.13,5,2,4,524,New
C00357,33,39,217568.24,2,4,1,241,Regular
C00358,8,30,265880.86,4,1,2,412,New
C00359,21,24,134104.86000000002,2,1,1,211,At Risk
C00360,12,28,256271.99,3,1,2,312,Regular
C00361,13,36,269284.27,3,3,2,332,Loyal
C00362,21,37,174144.39,2,4,1,241,Regular
C00363,17,39,425715.08999999997,3,4,5,345,Loyal
C00364,34,33,214367.83000000002,2,2,1,221,At Risk
C00365,5,33,231906.6,5,2,1,521,New
C00366,9,37,263154.15,4,4,2,442,Loyal
C00367,3,41,403386.55,5,5,5,555,Champions
C00368,14,30,168744.03,3,1,1,311,Regular
C00369,2,35,302347.11,5,3,3,533,Loyal
C00370,12,28,224990.34,3,1,1,311,Regular
C00371,10,31,280878.76,4,2,2,422,New
C00372,52,38,301036.33999999997,1,4,3,143,Regular
C00373,31,39,265654.6,2,4,2,242,Regular
C00374,4,39,424719.31,5,4,5,545,Champions
C00375,14,39,390002.09,3,4,5,345,Loyal
C00376,2,26,208501.41,5,1,1,511,New
C00377,11,42,391274.83,4,5,5,455,Champions
C00378,11,50,528837.43,4,5,5,455,Champions
C00379,49,32,199265.06,1,2,1,121,At Risk
C00380,9,30,385135.04,4,1,4,414,New
C00381,14,35,291469.24,3,3,2,332,Loyal
C00382,37,30,261199.93,1,1,2,112,At Risk
C00383,2,37,332914.41000000003,5,4,4,544,Champions
C00384,7,41,397036.93,4,5,5,455,Champions
C00385,17,43,316508.71,3,5,3,353,Loyal
C00386,37,28,314813.23,1,1,3,113,At Risk
C00387,41,38,377719.8,1,4,4,144,Regular
C00388,53,31,393669.37,1,2,5,125,At Risk
C00389,15,31,249427.47,3,2,2,322,Regular
C00390,2,31,325194.34,5,2,3,523,New
C00391,12,42,457820.54,3,5,5,355,Loyal
C00392,2,24,251785.56,5,1,2,512,New
C00393,15,39,305231.09,3,4,3,343,Loyal
C00394,8,34,244005.33,4,3,1,431,Loyal
C00395,65,35,291521.13,1,3,2,132,Regular
C00396,76,32,268831.37,1,2,2,122,At Risk
C00397,12,33,236661.29,3,2,1,321,Regular
C00398,12,35,297204.94,3,3,3,333,Loyal
C00399,4,32,315617.13,5,2,3,523,New
C00400,5,41,298293.51,5,5,3,553,Loyal
C00401,4,39,369577.21,5,4,4,544,Champions
C00402,11,26,226493.91,4,1,1,411,New
C00403,25,36,332443.19,2,3,3,233,Regular
C00404,12,32,291860.82,3,2,3,323,Regular
C00405,4,35,265573.13,5,3,2,532,Loyal
C00406,1,38,403157.0,5,4,5,545,Champions
C00407,16,33,337714.95,3,2,4,324,Regular
C00408,7,36,386392.83,4,3,4,434,Loyal
C00409,27,27,323140.26,2,1,3,213,At Risk
C00410,3,35,384458.05,5,3,4,534,Loyal
C00411,21,35,298320.37,2,3,3,233,Regular
C00412,85,31,275421.12,1,2,2,122,At Risk
C00413,7,35,347892.86,4,3,4,434,Loyal
C00414,20,33,195718.65,2,2,1,221,At Risk
C00415,9,44,366305.12,4,5,4,454,Champions
C00416,6,46,314596.9,4,5,3,453,Loyal
C00417,28,34,289893.23,2,3,2,232,Regular
C00418,38,32,315076.18,1,2,3,123,At Risk
C00419,61,36,309887.59,1,3,3,133,Regular
C00420,4,30,288541.24,5,1,2,512,New
C00421,12,33,247532.91,3,2,2,322,Regular
C00422,9,28,259673.08,4,1,2,412,New
C00423,2,45,453920.77,5,5,5,555,Champions
C00424,5,48,348365.04,5,5,4,554,Champions
C00425,62,27,231542.75,1,1,1,111,At Risk
C00426,7,31,374418.96,4,2,4,424,New
C00427,21,41,264267.27,2,5,2,252,Regular
C00428,10,40,350488.7,4,4,4,444,Champions
C00429,9,25,248193.31,4,1,2,412,New
C00430,17,32,393348.87,3,2,5,325,Regular
C00431,9,30,329341.25,4,1,3,413,New
C00432,29,35,218922.53,2,3,1,231,Regular
C00433,18,45,343006.49,3,5,4,354,Loyal
C00434,22,39,473929.96,2,4,5,245,Regular
C00435,34,41,379342.43,2,5,4,254,Regular
C00436,25,28,340806.28,2,1,4,214,At Risk
C00437,2,41,383034.06,5,5,4,554,Champions
C00438,2,29,348825.55,5,1,4,514,New
C00439,8,36,281600.03,4,3,2,432,Loyal
C00440,16,36,225193.25,3,3,1,331,Loyal
C00441,43,30,209927.86,1,1,1,111,At Risk
C00442,11,30,226953.88999999998,4,1,1,411,New
C00443,40,37,415003.86,1,4,5,145,Regular
C00444,33,37,303831.72,2,4,3,243,Regular
C00445,15,29,236857.72,3,1,1,311,Regular
C00446,21,34,244847.87,2,3,2,232,Regular
C00447,26,41,479184.01,2,5,5,255,Regular
C00448,38,32,256493.66,1,2,2,122,At Risk
C00449,3,34,347792.26,5,3,4,534,Loyal
C00450,4,33,247157.88,5,2,2,522,New
C00451,6,30,343327.93,4,1,4,414,New
C00452,4,40,477907.15,5,4,5,545,Champions
C00453,15,38,378783.23,3,4,4,344,Loyal
C00454,2,46,409606.62,5,5,5,555,Champions
C00455,52,30,424562.85,1,1,5,115,At Risk
C00456,4,39,376776.58,5,4,4,544,Champions
C00457,6,40,329781.73,4,4,3,443,Loyal
C00458,10,33,298113.8,4,2,3,423,New
C00459,12,36,342945.59,3,3,4,334,Loyal
C00460,2,31,267052.08999999997,5,2,2,522,New
C00461,38,24,168966.77,1,1,1,111,At Risk
C00462,14,27,331681.48,3,1,3,313,Regular
C00463,1,26,197098.26,5,1,1,511,New
C00464,2,31,252108.57,5,2,2,522,New
C00465,3,34,275578.46,5,3,2,532,Loyal
C00466,10,34,289643.73,4,3,2,432,Loyal
C00467,54,33,295259.77,1,2,3,123,At Risk
C00468,5,37,464374.42,5,4,5,545,Champions
C00469,19,30,352003.69,3,1,4,314,Regular
C00470,1,35,214114.54,5,3,1,531,Loyal
C00471,12,31,241341.22,3,2,1,321,Regular
C00472,5,38,490805.54,5,4,5,545,Champions
C00473,14,24,154550.45,3,1,1,311,Regular
C00474,12,38,291514.72000000003,3,4,2,342,Loyal
C00475,18,43,414893.16,3,5,5,355,Loyal
C00476,6,25,153497.33000000002,4,1,1,411,New
C00477,2,37,316280.47,5,4,3,543,Loyal
C00478,13,33,310943.11,3,2,3,323,Regular
C00479,15,43,510704.56,3,5,5,355,Loyal
C00480,18,38,175710.87,3,4,1,341,Loyal
C00481,8,31,332353.28,4,2,3,423,New
C00482,5,30,242226.73,5,1,1,511,New
C00483,7,41,360641.07,4,5,4,454,Champions
C00484,2,39,337474.3,5,4,4,544,Champions
C00485,8,29,208421.32,4,1,1,411,New
C00486,3,37,338144.74,5,4,4,544,Champions
C00487,26,40,398866.52999999997,2,4,5,245,Regular
C00488,38,33,302946.91000000003,1,2,3,123,At Risk
C00489,19,36,272616.05,3,3,2,332,Loyal
C00490,14,29,219318.48,3,1,1,311,Regular
C00491,2,32,331714.51,5,2,3,523,New
C00492,1,30,198823.87,5,1,1,511,New
C00493,10,41,413386.46,4,5,5,455,Champions
C00494,10,47,396933.63,4,5,5,455,Champions
C00495,7,32,213743.09,4,2,1,421,New
C00496,3,43,353710.72,5,5,4,554,Champions
C00497,25,36,365066.17,2,3,4,234,Regular
C00498,8,42,361929.38,4,5,4,454,Champions
C00499,29,28,264199.8,2,1,2,212,At Risk
C00500,8,29,202473.7,4,1,1,411,New
C00501,17,30,286162.63,3,1,2,312,Regular
C00502,30,31,300703.21,2,2,3,223,At Risk
C00503,14,46,332351.12,3,5,3,353,Loyal
C00504,126,27,205495.0,1,1,1,111,At Risk
C00505,7,37,261123.29,4,4,2,442,Loyal
C00506,24,28,296030.52,2,1,3,213,At Risk
C00507,25,44,297977.39,2,5,3,253,Regular
C00508,30,35,400666.95,2,3,5,235,Regular
C00509,15,19,114958.54,3,1,1,311,Regular
C00510,49,35,179760.4,1,3,1,131,Regular
C00511,27,33,200954.37,2,2,1,221,At Risk
C00512,14,27,234233.09,3,1,1,311,Regular
C00513,17,45,462259.32,3,5,5,355,Loyal
C00514,74,34,271267.24,1,3,2,132,Regular
C00515,33,26,225872.78,2,1,1,211,At Risk
C00516,8,34,250623.03,4,3,2,432,Loyal
C00517,32,30,198837.51,2,1,1,211,At Risk
C00518,1,35,293395.19,5,3,3,533,Loyal
C00519,4,34,277395.82,5,3,2,532,Loyal
C00520,82,36,253166.02,1,3,2,132,Regular
C00521,43,35,340827.06,1,3,4,134,Regular
C00522,23,40,406922.96,2,4,5,245,Regular
C00523,21,35,280085.08999999997,2,3,2,232,Regular
C00524,5,37,223701.81,5,4,1,541,Loyal
C00525,3,46,525875.44,5,5,5,555,Champions
C00526,4,31,446153.88,5,2,5,525,New
C00527,11,36,292922.62,4,3,3,433,Loyal
C00528,6,22,169241.41,4,1,1,411,New
C00529,6,40,368390.7,4,4,4,444,Champions
C00530,4,39,338233.28,5,4,4,544,Champions
C00531,20,50,591897.29,2,5,5,255,Regular
C00532,22,43,404703.05,2,5,5,255,Regular
C00533,1,33,308614.3,5,2,3,523,New
C00534,11,34,319219.82,4,3,3,433,Loyal
C00535,93,28,185946.55,1,1,1,111,At Risk
C00536,5,33,271534.01,5,2,2,522,New
C00537,50,34,240057.77,1,3,1,131,Regular
C00538,8,42,285411.68,4,5,2,452,Loyal
C00539,3,32,233087.85,5,2,1,521,New
C00540,82,29,320706.9,1,1,3,113,At Risk
C00541,11,31,229250.13,4,2,1,421,New
C00542,6,30,184689.03,4,1,1,411,New
C00543,1,41,462138.98,5,5,5,555,Champions
C00544,14,43,467877.91,3,5,5,355,Loyal
C00545,32,25,151120.82,2,1,1,211,At Risk
C00546,16,28,307919.72000000003,3,1,3,313,Regular
C00547,23,33,354631.0,2,2,4,224,At Risk
C00548,16,32,165550.8,3,2,1,321,Regular
C00549,31,39,213454.81,2,4,1,241,Regular
C00550,6,36,400374.15,4,3,5,435,Loyal
C00551,8,28,261354.41,4,1,2,412,New
