customer_id,age,gender,city,occupation,annual_income,card_type,credit_limit,join_date,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment,avg_txn_value,total_spend,credit_utilization,clv_simple,is_outlier_spend,cluster,cluster_label,credit_risk
C00013,48,M,Ahmedabad,Self Employed,79937.9,Silver,100000,2021-12-07,39,36,439348.08,1,3,5,135,Regular,12204.113333333335,439348.08,1.0,878696.1600000001,False,1,Premium,High Risk
C00014,64,M,Kolkata,Retired,99266.35,Gold,250000,2023-04-20,6,39,385217.41,4,4,4,444,Champions,9877.369487179487,385217.41,1.0,770434.82,False,1,Premium,High Risk
C00015,23,M,Lucknow,Salaried,80841.87,Platinum,500000,2021-05-20,24,31,177402.66,2,2,1,221,At Risk,5722.666451612903,177402.66,0.35480532,354805.32,False,0,Mid Value,Low Risk
C00016,33,F,Chennai,Business Owner,116141.1,Silver,100000,2021-05-13,17,36,428766.45999999996,3,3,5,335,Loyal,11910.179444444444,428766.45999999996,1.0,857532.9199999999,False,1,Premium,High Risk
C00017,24,M,Hyderabad,Salaried,63409.84,Gold,250000,2022-04-09,16,33,270551.05,3,2,2,322,Regular,8198.516666666666,270551.05,1.0,541102.1,False,2,Low Value,High Risk
C00018,42,F,Jaipur,Salaried,80713.38,Platinum,500000,2020-11-12,41,27,317102.94,1,1,3,113,At Risk,11744.553333333333,317102.94,0.63420588,634205.88,False,3,High Value,Medium Risk
C00019,48,M,Hyderabad,Student,54107.19,Platinum,500000,2022-09-16,22,34,389965.23,2,2,4,224,At Risk,11469.565588235293,389965.23,0.77993046,779930.46,False,1,Premium,Medium Risk
C00020,59,M,Jaipur,Student,85398.02,Signature,1000000,2022-11-09,1,25,230671.69,5,1,1,511,New,9226.8676,230671.69,0.23067169,461343.38,False,0,Mid Value,Low Risk
C00021,61,M,Bangalore,Salaried,43890.85,Gold,250000,2019-11-14,11,28,279217.27999999997,4,1,2,412,New,9972.045714285714,279217.27999999997,1.0,558434.5599999999,False,2,Low Value,High Risk
C00022,44,M,Ahmedabad,Self Employed,54800.7,Signature,1000000,2022-10-29,24,35,366236.57,2,3,4,234,Regular,10463.902,366236.57,0.36623657,732473.14,False,0,Mid Value,Low Risk
C00023,32,F,Delhi,Retired,69443.48,Silver,100000,2023-07-07,5,31,380325.18,5,2,4,524,New,12268.554193548387,380325.18,1.0,760650.36,False,1,Premium,High Risk
C00024,48,F,Bangalore,Self Employed,19794.86,Silver,100000,2023-10-26,25,31,361250.51,2,2,4,224,At Risk,11653.242258064516,361250.51,1.0,722501.02,False,1,Premium,High Risk
C00025,64,F,Delhi,Self Employed,128951.04,Gold,250000,2023-01-02,34,39,251603.63999999998,2,4,2,242,Regular,6451.375384615384,251603.63999999998,1.0,503207.27999999997,False,2,Low Value,High Risk
C00026,44,F,Delhi,Salaried,15000.0,Gold,250000,2023-06-22,1,29,310169.93,5,1,3,513,New,10695.514827586207,310169.93,1.0,620339.86,False,2,Low Value,High Risk
C00027,26,M,Bangalore,Student,93690.18,Silver,100000,2024-05-09,30,31,226403.66,2,2,1,221,At Risk,7303.343870967742,226403.66,1.0,452807.32,False,2,Low Value,High Risk
C00028,40,F,Ahmedabad,Salaried,82944.68,Gold,250000,2024-01-18,4,33,324253.2,5,2,3,523,New,9825.854545454546,324253.2,1.0,648506.4,False,2,Low Value,High Risk
C00029,38,F,Lucknow,Salaried,84459.37,Platinum,500000,2024-05-23,24,43,345634.37,2,5,4,254,Regular,8038.008604651162,345634.37,0.6912687399999999,691268.74,False,1,Premium,Medium Risk
C00030,36,M,Delhi,Salaried,97793.69,Platinum,500000,2021-10-13,4,29,315229.81,5,1,3,513,New,10869.993448275862,315229.81,0.63045962,630459.62,False,0,Mid Value,Medium Risk
C00031,32,M,Bangalore,Student,100014.57,Silver,100000,2022-06-10,24,24,315749.38,2,1,3,213,At Risk,13156.224166666667,315749.38,1.0,631498.76,False,3,High Value,High Risk
C00032,53,F,Chennai,Student,74572.63,Gold,250000,2020-08-09,33,39,254090.12,2,4,2,242,Regular,6515.131282051282,254090.12,1.0,508180.24,False,2,Low Value,High Risk
C00033,40,M,Mumbai,Business Owner,15000.0,Signature,1000000,2019-06-02,120,23,192780.6,1,1,1,111,At Risk,8381.765217391305,192780.6,0.1927806,385561.2,False,3,High Value,Low Risk
C00034,55,M,Chennai,Salaried,105058.94,Gold,250000,2023-09-01,15,33,399903.0,3,2,5,325,Regular,12118.272727272728,399903.0,1.0,799806.0,False,1,Premium,High Risk
C00035,41,F,Delhi,Business Owner,56124.19,Platinum,500000,2022-05-03,22,38,370188.66,2,4,4,244,Regular,9741.806842105263,370188.66,0.7403773199999999,740377.32,False,1,Premium,Medium Risk
C00036,42,F,Pune,Salaried,36625.08,Silver,100000,2021-01-19,29,35,456576.07,2,3,5,235,Regular,13045.030571428571,456576.07,1.0,913152.14,False,1,Premium,High Risk
C00037,28,F,Delhi,Salaried,106281.46,Gold,250000,2019-10-11,7,36,342907.76,4,3,4,434,Loyal,9525.215555555556,342907.76,1.0,685815.52,False,1,Premium,High Risk
C00038,39,F,Delhi,Retired,86138.8,Gold,250000,2022-04-30,65,31,305320.82,1,2,3,123,At Risk,9849.05870967742,305320.82,1.0,610641.64,False,3,High Value,High Risk
C00039,50,F,Chennai,Salaried,66276.03,Signature,1000000,2022-01-27,12,30,249217.2,3,1,2,312,Regular,8307.24,249217.2,0.2492172,498434.39999999997,False,0,Mid Value,Low Risk
C00040,41,M,Mumbai,Business Owner,92210.22,Silver,100000,2022-03-30,24,42,328710.1,2,5,3,253,Regular,7826.430952380952,328710.1,1.0,657420.2,False,2,Low Value,High Risk
C00041,51,F,Delhi,Student,35568.4,Silver,100000,2020-05-04,2,41,395264.58,5,5,5,555,Champions,9640.599512195122,395264.58,1.0,790529.16,False,1,Premium,High Risk
C00042,29,F,Lucknow,Student,111688.08,Platinum,500000,2022-04-14,6,31,291237.58,4,2,2,422,New,9394.76064516129,291237.58,0.58247516,582475.16,False,0,Mid Value,Medium Risk
C00043,55,M,Chennai,Business Owner,89703.92,Silver,100000,2021-06-21,7,31,272728.06,4,2,2,422,New,8797.67935483871,272728.06,1.0,545456.12,False,2,Low Value,High Risk
C00044,36,M,Mumbai,Salaried,26922.98,Silver,100000,2024-03-21,20,32,182810.03,2,2,1,221,At Risk,5712.8134375,182810.03,1.0,365620.06,False,2,Low Value,High Risk
C00045,43,M,Lucknow,Student,33996.05,Silver,100000,2022-04-28,12,37,266092.03,3,4,2,342,Loyal,7191.676486486487,266092.03,1.0,532184.06,False,2,Low Value,High Risk
C00046,62,M,Kolkata,Business Owner,106041.41,Platinum,500000,2021-12-13,33,41,279900.42,2,5,2,252,Regular,6826.839512195122,279900.42,0.55980084,559800.84,False,0,Mid Value,Medium Risk
C00047,64,M,Bangalore,Business Owner,68570.69,Platinum,500000,2021-09-18,75,32,396309.41,1,2,5,125,At Risk,12384.6690625,396309.41,0.79261882,792618.82,False,3,High Value,Medium Risk
C00048,36,F,Bangalore,Self Employed,85560.83,Signature,1000000,2020-09-27,36,41,318432.49,1,5,3,153,Regular,7766.646097560975,318432.49,0.31843249,636864.98,False,0,Mid Value,Low Risk
C00049,39,M,Jaipur,Self Employed,46224.38,Silver,100000,2019-04-27,18,39,338413.22,3,4,4,344,Loyal,8677.26205128205,338413.22,1.0,676826.44,False,2,Low Value,High Risk
C00050,21,M,Pune,Self Employed,66557.91,Silver,100000,2020-05-27,9,35,318425.13,4,3,3,433,Loyal,9097.860857142858,318425.13,1.0,636850.26,False,2,Low Value,High Risk
C00051,60,F,Pune,Self Employed,75515.67,Gold,250000,2020-12-04,22,32,243020.47,2,2,1,221,At Risk,7594.3896875,243020.47,0.97208188,486040.94,False,2,Low Value,High Risk
C00052,23,M,Pune,Salaried,87336.91,Silver,100000,2023-08-07,44,39,296299.96,1,4,3,143,Regular,7597.434871794872,296299.96,1.0,592599.92,False,2,Low Value,High Risk
C00053,34,M,Hyderabad,Salaried,90972.77,Silver,100000,2022-07-01,36,41,290984.74,1,5,2,152,Regular,7097.188780487804,290984.74,1.0,581969.48,False,2,Low Value,High Risk
C00054,25,M,Lucknow,Retired,87996.9,Platinum,500000,2022-04-18,5,42,393429.81,5,5,5,555,Champions,9367.376428571428,393429.81,0.78685962,786859.6199999999,False,1,Premium,Medium Risk
C00055,52,F,Mumbai,Salaried,82149.27,Silver,100000,2021-03-02,1,31,267585.81,5,2,2,522,New,8631.800322580644,267585.81,1.0,535171.62,False,2,Low Value,High Risk
C00056,52,F,Bangalore,Business Owner,97292.15,Signature,1000000,2023-08-15,9,42,328659.51,4,5,3,453,Loyal,7825.226428571429,328659.51,0.32865951,657319.02,False,0,Mid Value,Low Risk
C00057,53,F,Lucknow,Salaried,84436.53,Gold,250000,2023-05-20,6,36,340772.56,4,3,4,434,Loyal,9465.904444444444,340772.56,1.0,681545.12,False,1,Premium,High Risk
C00058,49,M,Bangalore,Business Owner,84011.72,Silver,100000,2023-06-19,42,37,239449.73,1,4,1,141,Regular,6471.614324324325,239449.73,1.0,478899.4600000001,False,2,Low Value,High Risk
C00059,43,M,Bangalore,Salaried,63756.33,Platinum,500000,2023-06-14,23,33,421382.13,2,2,5,225,At Risk,12769.155454545455,421382.13,0.84276426,842764.26,False,1,Premium,High Risk
C00060,24,F,Ahmedabad,Self Employed,55209.97,Gold,250000,2023-07-08,7,29,284039.27,4,1,2,412,New,9794.457586206898,284039.27,1.0,568078.54,False,2,Low Value,High Risk
C00061,41,F,Delhi,Self Employed,71522.32,Gold,250000,2021-07-08,6,35,341504.82,4,3,4,434,Loyal,9757.280571428571,341504.82,1.0,683009.64,False,1,Premium,High Risk
C00062,56,M,Kolkata,Salaried,84838.0,Gold,250000,2019-04-06,7,34,345380.5,4,2,4,424,New,10158.25,345380.5,1.0,690761.0,False,1,Premium,High Risk
C00063,33,M,Jaipur,Salaried,44121.55,Gold,250000,2024-03-19,3,30,239466.7,5,1,1,511,New,7982.223333333333,239466.7,0.9578668,478933.4,False,2,Low Value,High Risk
C00064,39,F,Bangalore,Salaried,93717.82,Gold,250000,2020-01-31,23,33,281206.1,2,2,2,222,At Risk,8521.396969696969,281206.1,1.0,562412.2,False,2,Low Value,High Risk
C00065,27,F,Kolkata,Salaried,73107.04,Gold,250000,2023-03-10,4,35,436316.74,5,3,5,535,Loyal,12466.192571428572,436316.74,1.0,872633.48,False,1,Premium,High Risk
C00066,32,M,Kolkata,Self Employed,78029.08,Silver,100000,2021-06-09,26,30,224292.11000000002,2,1,1,211,At Risk,7476.403666666667,224292.11000000002,1.0,448584.22000000003,False,2,Low Value,High Risk
C00067,59,M,Bangalore,Student,69632.6,Silver,100000,2022-05-31,7,31,297861.54,4,2,3,423,New,9608.436774193548,297861.54,1.0,595723.08,False,2,Low Value,High Risk
C00068,63,M,Lucknow,Student,43082.37,Platinum,500000,2021-01-20,22,31,382625.14,2,2,4,224,At Risk,12342.746451612904,382625.14,0.7652502800000001,765250.28,False,1,Premium,Medium Risk
C00069,37,M,Kolkata,Salaried,57000.9,Platinum,500000,2020-09-25,1,34,283693.38,5,2,2,522,New,8343.92294117647,283693.38,0.56738676,567386.76,False,0,Mid Value,Medium Risk
C00070,28,F,Delhi,Retired,76114.68,Gold,250000,2024-01-31,32,30,169569.13999999998,2,1,1,211,At Risk,5652.304666666666,169569.13999999998,0.6782765599999999,339138.27999999997,False,0,Mid Value,Medium Risk
C00071,45,F,Pune,Self Employed,17701.44,Platinum,500000,2023-12-16,33,36,338948.09,2,3,4,234,Regular,9415.224722222223,338948.09,0.6778961800000001,677896.18,False,0,Mid Value,Medium Risk
C00072,30,M,Mumbai,Business Owner,102084.34,Signature,1000000,2019-02-08,90,22,148932.4,1,1,1,111,At Risk,6769.654545454545,148932.4,0.1489324,297864.8,False,3,High Value,Low Risk
C00073,40,M,Delhi,Salaried,108134.15,Gold,250000,2019-07-09,31,28,222669.2,2,1,1,211,At Risk,7952.471428571429,222669.2,0.8906768,445338.4,False,2,Low Value,High Risk
C00074,53,F,Kolkata,Salaried,93125.89,Silver,100000,2019-05-14,27,38,450801.7,2,4,5,245,Regular,11863.202631578948,450801.7,1.0,901603.4,False,1,Premium,High Risk
C00075,41,M,Delhi,Business Owner,84208.82,Gold,250000,2022-06-10,52,40,289402.97,1,4,2,142,Regular,7235.07425,289402.97,1.0,578805.94,False,3,High Value,High Risk
C00076,23,F,Lucknow,Retired,71630.52,Signature,1000000,2024-05-30,48,25,232609.26,1,1,1,111,At Risk,9304.3704,232609.26,0.23260926,465218.52,False,0,Mid Value,Low Risk
C00077,28,M,Lucknow,Salaried,43733.15,Silver,100000,2022-02-19,3,37,285546.36,5,4,2,542,Loyal,7717.469189189189,285546.36,1.0,571092.72,False,2,Low Value,High Risk
C00078,48,M,Pune,Salaried,62954.55,Silver,100000,2019-02-10,82,29,217403.5,1,1,1,111,At Risk,7496.672413793103,217403.5,1.0,434807.0,False,3,High Value,High Risk
C00079,29,M,Bangalore,Student,98512.72,Gold,250000,2021-07-13,13,29,263547.57,3,1,2,312,Regular,9087.84724137931,263547.57,1.0,527095.14,False,2,Low Value,High Risk
C00080,38,F,Mumbai,Salaried,52692.89,Gold,250000,2020-12-09,5,30,267191.25,5,1,2,512,New,8906.375,267191.25,1.0,534382.5,False,2,Low Value,High Risk
C00081,50,F,Kolkata,Self Employed,67791.67,Platinum,500000,2019-08-12,9,37,297631.21,4,4,3,443,Loyal,8044.0867567567575,297631.21,0.5952624200000001,595262.42,False,0,Mid Value,Medium Risk
C00082,45,F,Delhi,Business Owner,61533.36,Signature,1000000,2021-03-05,6,39,466939.5,4,4,5,445,Champions,11972.807692307691,466939.5,0.4669395,933878.9999999999,False,1,Premium,Low Risk
C00083,55,F,Kolkata,Business Owner,76560.49,Gold,250000,2023-07-27,1,32,293188.0,5,2,3,523,New,9162.125,293188.0,1.0,586376.0,False,2,Low Value,High Risk
C00084,57,M,Jaipur,Salaried,55468.73,Platinum,500000,2019-03-24,8,43,474802.52,4,5,5,455,Champions,11041.919069767442,474802.52,0.94960504,949605.04,False,1,Premium,High Risk
C00085,33,M,Ahmedabad,Salaried,79995.2,Platinum,500000,2019-02-03,19,38,277189.97,3,4,2,342,Loyal,7294.472894736841,277189.97,0.5543799399999999,554379.94,False,0,Mid Value,Medium Risk
C00086,54,M,Delhi,Business Owner,62262.94,Gold,250000,2021-02-09,4,33,330057.71,5,2,3,523,New,10001.748787878789,330057.71,1.0,660115.42,False,2,Low Value,High Risk
C00087,25,F,Mumbai,Student,53102.24,Gold,250000,2022-06-06,11,41,322938.2,4,5,3,453,Loyal,7876.541463414635,322938.2,1.0,645876.4,False,2,Low Value,High Risk
C00088,59,F,Mumbai,Business Owner,146177.73,Silver,100000,2021-02-02,42,42,236419.1,1,5,1,151,Regular,5629.026190476191,236419.1,1.0,472838.20000000007,False,2,Low Value,High Risk
C00089,50,M,Ahmedabad,Retired,43942.54,Platinum,500000,2019-09-06,17,45,477103.57,3,5,5,355,Loyal,10602.301555555556,477103.57,0.9542071400000001,954207.14,False,1,Premium,High Risk
C00090,50,F,Chennai,Business Owner,73492.33,Gold,250000,2023-05-06,31,41,282652.91000000003,2,5,2,252,Regular,6893.973414634147,282652.91000000003,1.0,565305.8200000001,False,2,Low Value,High Risk
C00091,37,F,Mumbai,Salaried,18898.53,Gold,250000,2020-06-29,62,32,482629.93,1,2,5,125,At Risk,15082.1853125,482629.93,1.0,965259.86,False,1,Premium,High Risk
C00092,63,M,Jaipur,Business Owner,68333.57,Gold,250000,2024-06-17,20,31,252916.14,2,2,2,222,At Risk,8158.585161290323,252916.14,1.0,505832.28,False,2,Low Value,High Risk
C00093,36,F,Mumbai,Business Owner,36962.44,Silver,100000,2022-05-03,3,30,246045.98,5,1,2,512,New,8201.532666666668,246045.98,1.0,492091.9600000001,False,2,Low Value,High Risk
C00094,39,M,Pune,Salaried,84630.2,Platinum,500000,2023-01-29,7,39,304657.64,4,4,3,443,Loyal,7811.73435897436,304657.64,0.60931528,609315.28,False,0,Mid Value,Medium Risk
C00095,21,M,Jaipur,Salaried,15000.0,Platinum,500000,2024-05-22,17,34,394406.55,3,2,5,325,Regular,11600.192647058822,394406.55,0.7888130999999999,788813.0999999999,False,1,Premium,Medium Risk
C00096,42,M,Delhi,Salaried,85388.24,Silver,100000,2019-12-16,6,39,423626.9,4,4,5,445,Champions,10862.228205128205,423626.9,1.0,847253.8,False,1,Premium,High Risk
C00097,21,M,Pune,Salaried,75445.21,Signature,1000000,2019-10-30,17,39,350925.63,3,4,4,344,Loyal,8998.093076923076,350925.63,0.35092563,701851.26,False,0,Mid Value,Low Risk
C00098,48,F,Lucknow,Salaried,46743.05,Gold,250000,2022-05-24,21,38,349170.17,2,4,4,244,Regular,9188.688684210525,349170.17,1.0,698340.3399999999,False,1,Premium,High Risk
C00099,27,M,Lucknow,Salaried,96005.47,Platinum,500000,2023-03-12,1,41,344441.29,5,5,4,554,Champions,8401.007073170731,344441.29,0.6888825799999999,688882.58,False,1,Premium,Medium Risk
C00100,35,M,Lucknow,Business Owner,84131.1,Silver,100000,2023-07-13,15,30,246198.22999999998,3,1,2,312,Regular,8206.607666666667,246198.22999999998,1.0,492396.46,False,2,Low Value,High Risk
C00101,37,M,Jaipur,Self Employed,50602.81,Silver,100000,2019-05-25,21,36,272090.2,2,3,2,232,Regular,7558.061111111111,272090.2,1.0,544180.4,False,2,Low Value,High Risk
C00102,23,M,Pune,Business Owner,37553.56,Gold,250000,2022-03-15,21,37,398274.6,2,4,5,245,Regular,10764.178378378378,398274.6,1.0,796549.2,False,1,Premium,High Risk
C00103,28,M,Lucknow,Business Owner,114383.02,Gold,250000,2020-09-04,9,32,358868.99,4,2,4,424,New,11214.6559375,358868.99,1.0,717737.98,False,1,Premium,High Risk
C00104,26,M,Kolkata,Salaried,129584.09,Gold,250000,2022-08-05,4,34,364189.95,5,2,4,524,New,10711.469117647059,364189.95,1.0,728379.9,False,1,Premium,High Risk
C00105,24,M,Ahmedabad,Self Employed,93924.53,Silver,100000,2019-04-28,11,42,353016.5,4,5,4,454,Champions,8405.154761904761,353016.5,1.0,706033.0,False,1,Premium,High Risk
C00106,22,M,Kolkata,Salaried,74356.12,Gold,250000,2022-11-16,121,29,214213.54,1,1,1,111,At Risk,7386.673793103449,214213.54,0.85685416,428427.08,False,3,High Value,High Risk
C00107,24,F,Pune,Business Owner,78392.72,Silver,100000,2020-07-12,7,29,383539.26,4,1,4,414,New,13225.491724137932,383539.26,1.0,767078.52,False,1,Premium,High Risk
C00108,31,M,Delhi,Salaried,15000.0,Signature,1000000,2021-04-24,5,31,344182.16,5,2,4,524,New,11102.650322580645,344182.16,0.34418215999999996,688364.32,False,0,Mid Value,Low Risk
C00109,30,F,Delhi,Salaried,129910.24,Silver,100000,2022-04-06,10,30,220558.75,4,1,1,411,New,7351.958333333333,220558.75,1.0,441117.5,False,2,Low Value,High Risk
C00110,29,M,Pune,Salaried,129519.76,Platinum,500000,2024-06-17,48,31,142784.1,1,2,1,121,At Risk,4605.93870967742,142784.1,0.2855682,285568.2,False,0,Mid Value,Low Risk
C00111,50,F,Bangalore,Salaried,53207.74,Signature,1000000,2023-01-22,8,37,198399.07,4,4,1,441,Loyal,5362.137027027027,198399.07,0.19839907,396798.14,False,0,Mid Value,Low Risk
C00112,60,F,Ahmedabad,Student,115150.75,Platinum,500000,2023-05-15,10,41,344656.22,4,5,4,454,Champions,8406.249268292682,344656.22,0.6893124399999999,689312.44,False,1,Premium,Medium Risk
C00113,57,M,Lucknow,Retired,55371.81,Silver,100000,2019-01-05,31,35,451184.35,2,3,5,235,Regular,12890.981428571427,451184.35,1.0,902368.7,False,1,Premium,High Risk
C00114,45,F,Ahmedabad,Salaried,57023.25,Platinum,500000,2019-03-30,31,40,321930.92,2,4,3,243,Regular,8048.272999999999,321930.92,0.64386184,643861.84,False,0,Mid Value,Medium Risk
C00115,34,M,Jaipur,Salaried,77505.71,Gold,250000,2020-07-28,21,43,405270.73,2,5,5,255,Regular,9424.900697674419,405270.73,1.0,810541.46,False,1,Premium,High Risk
C00116,22,M,Hyderabad,Salaried,94172.06,Gold,250000,2023-06-28,83,28,308725.45,1,1,3,113,At Risk,11025.908928571429,308725.45,1.0,617450.9,False,3,High Value,High Risk
C00117,26,F,Delhi,Business Owner,106441.66,Gold,250000,2023-03-04,66,37,218974.85,1,4,1,141,Regular,5918.239189189189,218974.85,0.8758994,437949.7,False,3,High Value,High Risk
C00118,59,M,Delhi,Self Employed,43574.09,Gold,250000,2019-06-06,34,29,305730.71,2,1,3,213,At Risk,10542.43827586207,305730.71,1.0,611461.42,False,3,High Value,High Risk
C00119,47,M,Chennai,Business Owner,115293.14,Platinum,500000,2021-05-14,9,33,379525.53,4,2,4,424,New,11500.773636363638,379525.53,0.7590510600000001,759051.06,False,1,Premium,Medium Risk
C00120,35,M,Chennai,Self Employed,82061.03,Platinum,500000,2022-07-08,4,32,327409.13,5,2,3,523,New,10231.5353125,327409.13,0.65481826,654818.26,False,0,Mid Value,Medium Risk
C00121,22,M,Kolkata,Student,70817.94,Gold,250000,2021-03-04,17,31,366332.67,3,2,4,324,Regular,11817.182903225807,366332.67,1.0,732665.34,False,1,Premium,High Risk
C00122,30,M,Lucknow,Retired,65946.99,Silver,100000,2022-03-03,25,36,326454.89999999997,2,3,3,233,Regular,9068.191666666666,326454.89999999997,1.0,652909.7999999999,False,2,Low Value,High Risk
C00123,32,F,Chennai,Retired,61934.97,Platinum,500000,2020-11-13,4,28,316503.62,5,1,3,513,New,11303.700714285715,316503.62,0.63300724,633007.24,False,0,Mid Value,Medium Risk
C00124,25,F,Delhi,Business Owner,56804.07,Signature,1000000,2024-02-07,33,40,412603.16,2,4,5,245,Regular,10315.079,412603.16,0.41260315999999997,825206.32,False,1,Premium,Low Risk
C00125,29,F,Delhi,Salaried,117795.6,Signature,1000000,2023-10-16,10,42,384695.24,4,5,4,454,Champions,9159.410476190476,384695.24,0.38469524,769390.48,False,0,Mid Value,Low Risk
C00126,41,M,Jaipur,Salaried,54663.53,Silver,100000,2020-02-24,27,46,628327.1,2,5,5,255,Regular,13659.284782608695,628327.1,1.0,1256654.2,True,1,Premium,High Risk
C00127,60,F,Kolkata,Business Owner,22497.8,Platinum,500000,2019-07-21,2,27,176282.78,5,1,1,511,New,6528.991851851852,176282.78,0.35256556,352565.56,False,0,Mid Value,Low Risk
C00128,55,F,Pune,Salaried,112464.48,Gold,250000,2020-06-20,1,46,416713.29,5,5,5,555,Champions,9058.984565217392,416713.29,1.0,833426.5800000001,False,1,Premium,High Risk
C00129,38,M,Bangalore,Salaried,95215.82,Gold,250000,2021-08-12,1,42,425338.83999999997,5,5,5,555,Champions,10127.115238095237,425338.83999999997,1.0,850677.6799999999,False,1,Premium,High Risk
C00130,45,M,Delhi,Salaried,68845.25,Gold,250000,2020-12-10,27,39,303902.49,2,4,3,243,Regular,7792.371538461538,303902.49,1.0,607804.98,False,2,Low Value,High Risk
C00131,63,F,Pune,Salaried,39484.23,Signature,1000000,2020-11-19,34,38,373453.33,2,4,4,244,Regular,9827.719210526317,373453.33,0.37345333000000003,746906.66,False,0,Mid Value,Low Risk
C00132,60,M,Hyderabad,Salaried,85500.08,Gold,250000,2023-11-28,1,34,307638.3,5,2,3,523,New,9048.185294117648,307638.3,1.0,615276.6000000001,False,2,Low Value,High Risk
C00133,39,M,Ahmedabad,Business Owner,56559.19,Gold,250000,2023-02-09,49,36,285818.08,1,3,2,132,Regular,7939.391111111112,285818.08,1.0,571636.16,False,3,High Value,High Risk
C00134,21,M,Pune,Salaried,15000.0,Platinum,500000,2022-04-13,11,35,304328.1,4,3,3,433,Loyal,8695.08857142857,304328.1,0.6086562,608656.2,False,0,Mid Value,Medium Risk
C00135,50,M,Bangalore,Salaried,34674.15,Silver,100000,2021-07-13,10,32,317940.52999999997,4,2,3,423,New,9935.641562499999,317940.52999999997,1.0,635881.0599999999,False,2,Low Value,High Risk
C00136,30,M,Hyderabad,Retired,76111.05,Platinum,500000,2019-06-11,16,33,255033.58000000002,3,2,2,322,Regular,7728.290303030303,255033.58000000002,0.5100671600000001,510067.16000000003,False,0,Mid Value,Medium Risk
C00137,52,M,Hyderabad,Self Employed,98070.35,Silver,100000,2021-01-28,2,48,391453.18,5,5,5,555,Champions,8155.274583333333,391453.18,1.0,782906.36,False,1,Premium,High Risk
C00138,28,F,Bangalore,Self Employed,108146.65,Silver,100000,2022-06-16,15,38,261864.62,3,4,2,342,Loyal,6891.174210526316,261864.62,1.0,523729.24,False,2,Low Value,High Risk
C00139,28,F,Chennai,Retired,62790.24,Platinum,500000,2022-02-17,22,34,247755.87,2,2,2,222,At Risk,7286.937352941176,247755.87,0.49551174,495511.74,False,0,Mid Value,Low Risk
C00140,41,F,Hyderabad,Business Owner,58755.38,Gold,250000,2021-04-02,51,40,408691.62,1,4,5,145,Regular,10217.2905,408691.62,1.0,817383.24,False,1,Premium,High Risk
C00141,53,F,Kolkata,Salaried,79783.99,Gold,250000,2020-05-28,20,33,293633.1,2,2,3,223,At Risk,8897.972727272727,293633.1,1.0,587266.2,False,2,Low Value,High Risk
