transaction_id,customer_id,merchant_id,merchant_category,transaction_date,amount
T0000089,C00003,M0111,Healthcare,2025-04-23,9154.79
T0000090,C00003,M0104,Bills & Utilities,2025-10-10,2222.54
T0000091,C00003,M0043,Fuel,2024-10-21,3741.22
T0000092,C00003,M0029,Dining,2025-12-10,857.97
T0000093,C00003,M0012,Groceries,2024-08-25,1153.89
T0000094,C00003,M0058,Travel,2024-10-27,13819.72
T0000095,C00003,M0079,Fashion,2024-07-21,2954.44
T0000096,C00003,M0108,Healthcare,2024-04-16,17462.06
T0000097,C00003,M0020,Dining,2024-05-04,1506.61
T0000098,C00003,M0014,Groceries,2025-06-08,1548.71
T0000099,C00003,M0007,Groceries,2024-08-21,2479.79
T0000100,C00003,M0109,Healthcare,2024-08-10,7296.12
T0000101,C00003,M0130,Entertainment,2025-04-07,1960.81
T0000102,C00003,M0135,Entertainment,2024-10-13,556.17
T0000103,C00003,M0076,Fashion,2024-08-14,12353.25
T0000104,C00003,M0080,Fashion,2024-04-30,13427.32
T0000105,C00003,M0038,Fuel,2025-12-27,948.47
T0000106,C00003,M0150,Online Shopping,2025-12-09,8348.12
T0000107,C00003,M0108,Healthcare,2024-12-28,16708.16
T0000108,C00003,M0061,Electronics,2024-09-29,12863.61
T0000109,C00003,M0082,Fashion,2025-07-12,1059.5
T0000110,C00003,M0124,Entertainment,2025-08-25,913.67
T0000111,C00003,M0087,Fashion,2025-10-23,3372.58
T0000112,C00003,M0019,Dining,2024-02-09,729.18
T0000113,C00004,M0124,Entertainment,2024-08-22,2612.57
T0000114,C00004,M0034,Fuel,2024-02-02,803.6
T0000115,C00004,M0056,Travel,2025-12-26,37473.07
T0000116,C00004,M0019,Dining,2025-12-12,1898.79
T0000117,C00004,M0017,Dining,2024-07-10,1773.74
T0000118,C00004,M0050,Travel,2024-03-27,36796.27
T0000119,C00004,M0132,Entertainment,2025-06-21,2439.85
T0000120,C00004,M0029,Dining,2025-03-28,2075.68
T0000121,C00004,M0135,Entertainment,2024-01-29,417.05
T0000122,C00004,M0137,Online Shopping,2024-02-02,12611.7
T0000123,C00004,M0103,Bills & Utilities,2025-09-19,2020.94
T0000124,C00004,M0103,Bills & Utilities,2025-12-21,6116.99
T0000125,C00004,M0051,Travel,2025-08-11,24532.26
T0000126,C00004,M0056,Travel,2025-06-03,6149.18
T0000127,C00004,M0008,Groceries,2025-10-20,1417.85
T0000128,C00004,M0075,Electronics,2024-10-20,49937.35
T0000129,C00004,M0024,Dining,2025-02-09,481.58
T0000130,C00004,M0013,Groceries,2025-01-24,1659.09
T0000131,C00004,M0139,Online Shopping,2024-08-02,4643.62
T0000132,C00004,M0053,Travel,2024-03-21,14164.75
T0000133,C00004,M0028,Dining,2025-10-17,1260.86
T0000134,C00004,M0130,Entertainment,2025-11-06,1841.82
T0000135,C00004,M0036,Fuel,2024-12-20,1315.62
T0000136,C00004,M0011,Groceries,2025-11-21,1925.84
T0000137,C00004,M0135,Entertainment,2025-11-26,308.65
T0000138,C00004,M0010,Groceries,2024-08-17,1349.99
T0000139,C00004,M0118,Healthcare,2025-11-09,2300.67
T0000140,C00004,M0091,Bills & Utilities,2024-10-07,1908.59
T0000141,C00004,M0140,Online Shopping,2025-12-11,17832.91
T0000142,C00004,M0111,Healthcare,2024-05-03,16617.96
T0000143,C00004,M0084,Fashion,2024-01-01,11671.35
T0000144,C00004,M0133,Entertainment,2024-03-05,2069.3
T0000145,C00004,M0064,Electronics,2024-07-20,42048.97
T0000146,C00004,M0091,Bills & Utilities,2024-09-25,2138.0
T0000147,C00004,M0050,Travel,2025-01-17,2841.06
T0000148,C00004,M0133,Entertainment,2024-03-28,2687.27
T0000149,C00004,M0147,Online Shopping,2024-07-22,3176.85
T0000150,C00004,M0062,Electronics,2025-11-02,2300.31
T0000151,C00005,M0117,Healthcare,2024-12-09,3694.86
T0000152,C00005,M0122,Entertainment,2024-04-17,2789.64
T0000153,C00005,M0110,Healthcare,2024-07-28,12230.81
T0000154,C00005,M0111,Healthcare,2024-05-29,12369.57
T0000155,C00005,M0031,Fuel,2024-08-03,1190.51
T0000156,C00005,M0109,Healthcare,2025-05-12,19918.37
T0000157,C00005,M0042,Fuel,2024-01-27,1985.52
T0000158,C00005,M0100,Bills & Utilities,2024-05-04,6925.32
T0000159,C00005,M0028,Dining,2024-06-10,2465.78
T0000160,C00005,M0025,Dining,2024-04-06,2042.41
T0000161,C00005,M0131,Entertainment,2025-10-31,787.27
T0000162,C00005,M0059,Travel,2025-05-03,15148.09
T0000163,C00005,M0005,Groceries,2025-09-19,2320.07
T0000164,C00005,M0067,Electronics,2025-10-12,47351.98
T0000165,C00005,M0070,Electronics,2024-05-14,31897.97
T0000166,C00005,M0089,Fashion,2025-04-04,5364.23
T0000167,C00005,M0145,Online Shopping,2024-07-28,11500.56
T0000168,C00005,M0044,Fuel,2024-05-18,3612.5
T0000169,C00005,M0095,Bills & Utilities,2025-08-26,3525.84
T0000170,C00005,M0044,Fuel,2025-02-04,2802.38
T0000171,C00005,M0096,Bills & Utilities,2025-04-08,5159.21
T0000172,C00005,M0041,Fuel,2025-12-19,1712.4
T0000173,C00005,M0099,Bills & Utilities,2024-07-18,4723.94
T0000174,C00005,M0061,Electronics,2025-06-10,52993.72
T0000175,C00005,M0120,Healthcare,2025-06-26,9026.93
T0000176,C00005,M0021,Dining,2024-03-15,1321.58
T0000177,C00005,M0106,Healthcare,2024-05-12,11320.09
T0000178,C00005,M0108,Healthcare,2025-06-15,5606.56
T0000179,C00005,M0007,Groceries,2024-07-09,1317.57
T0000180,C00005,M0147,Online Shopping,2025-01-07,7567.98
T0000181,C00005,M0123,Entertainment,2024-10-03,2094.86
T0000182,C00005,M0137,Online Shopping,2024-11-21,8663.14
T0000183,C00005,M0145,Online Shopping,2025-12-06,14530.18
T0000184,C00005,M0051,Travel,2025-01-05,34658.06
T0000185,C00005,M0072,Electronics,2024-07-06,52894.23
T0000186,C00005,M0048,Travel,2025-05-10,27605.84
T0000187,C00005,M0030,Dining,2024-04-13,690.02
T0000188,C00005,M0097,Bills & Utilities,2025-08-07,7274.62
T0000189,C00005,M0061,Electronics,2025-05-10,55958.26
T0000190,C00005,M0041,Fuel,2024-02-17,1284.6
T0000191,C00005,M0135,Entertainment,2025-11-05,2243.65
T0000192,C00005,M0119,Healthcare,2024-10-08,11636.86
T0000193,C00005,M0122,Entertainment,2025-05-18,520.1
T0000194,C00006,M0100,Bills & Utilities,2025-09-03,880.15
T0000195,C00006,M0009,Groceries,2024-04-23,774.26
T0000196,C00006,M0093,Bills & Utilities,2024-07-20,3319.38
T0000197,C00006,M0079,Fashion,2025-08-17,3823.19
T0000198,C00006,M0048,Travel,2024-03-08,20444.17
T0000199,C00006,M0099,Bills & Utilities,2024-09-18,5485.87
T0000200,C00006,M0098,Bills & Utilities,2025-04-29,6941.69
T0000201,C00006,M0083,Fashion,2024-08-12,2611.96
T0000202,C00006,M0133,Entertainment,2025-04-26,2829.81
T0000203,C00006,M0107,Healthcare,2025-06-28,3327.42
T0000204,C00006,M0032,Fuel,2025-07-21,1100.01
T0000205,C00006,M0007,Groceries,2024-05-18,2789.01
T0000206,C00006,M0035,Fuel,2024-11-06,3047.15
T0000207,C00006,M0045,Fuel,2024-09-08,1055.09
T0000208,C00006,M0070,Electronics,2025-08-22,4086.04
T0000209,C00006,M0065,Electronics,2025-07-09,15144.91
T0000210,C00006,M0096,Bills & Utilities,2025-05-24,2030.64
T0000211,C00006,M0030,Dining,2025-08-22,1453.53
T0000212,C00006,M0061,Electronics,2024-04-22,40500.42
T0000213,C00006,M0087,Fashion,2024-07-31,6965.9
T0000214,C00006,M0140,Online Shopping,2025-01-26,906.35
T0000215,C00006,M0038,Fuel,2024-07-02,3197.55
T0000216,C00006,M0008,Groceries,2025-11-25,2188.4
T0000217,C00006,M0073,Electronics,2024-08-30,20673.96
T0000218,C00006,M0122,Entertainment,2024-03-06,2995.08
T0000219,C00006,M0098,Bills & Utilities,2024-11-23,1499.09
T0000220,C00006,M0083,Fashion,2025-10-12,8066.5
T0000221,C00006,M0047,Travel,2025-08-24,34596.44
T0000222,C00006,M0118,Healthcare,2024-02-11,19404.27
T0000223,C00006,M0132,Entertainment,2024-08-27,2420.43
T0000224,C00006,M0010,Groceries,2024-10-08,1214.9
T0000225,C00006,M0041,Fuel,2024-12-23,949.3
T0000226,C00006,M0140,Online Shopping,2024-05-28,8039.32
T0000227,C00006,M0137,Online Shopping,2025-03-13,12382.96
T0000228,C00006,M0048,Travel,2024-08-27,35982.74
T0000229,C00007,M0023,Dining,2025-02-15,939.5
T0000230,C00007,M0102,Bills & Utilities,2025-05-25,5451.38
T0000231,C00007,M0027,Dining,2024-02-07,1651.36
T0000232,C00007,M0034,Fuel,2024-02-07,1454.34
T0000233,C00007,M0089,Fashion,2024-09-10,9840.98
T0000234,C00007,M0012,Groceries,2024-04-26,2560.71
T0000235,C00007,M0127,Entertainment,2025-08-25,1313.06
T0000236,C00007,M0087,Fashion,2024-04-05,7265.6
T0000237,C00007,M0135,Entertainment,2025-10-01,1682.55
T0000238,C00007,M0086,Fashion,2024-05-25,4995.03
T0000239,C00007,M0087,Fashion,2024-11-28,10453.09
T0000240,C00007,M0133,Entertainment,2025-09-30,2629.04
T0000241,C00007,M0135,Entertainment,2025-04-01,1112.13
T0000242,C00007,M0108,Healthcare,2024-07-11,729.59
T0000243,C00007,M0013,Groceries,2025-02-28,2747.8
T0000244,C00007,M0018,Dining,2024-03-12,359.81
T0000245,C00007,M0042,Fuel,2024-02-15,2391.14
T0000246,C00007,M0149,Online Shopping,2024-06-14,7421.83
T0000247,C00007,M0113,Healthcare,2025-02-15,5984.76
T0000248,C00007,M0023,Dining,2025-09-23,1818.09
T0000249,C00007,M0081,Fashion,2024-07-01,4665.85
T0000250,C00007,M0006,Groceries,2024-09-19,485.41
T0000251,C00007,M0133,Entertainment,2024-12-09,948.18
T0000252,C00007,M0015,Groceries,2025-12-27,480.03
T0000253,C00007,M0059,Travel,2024-12-01,21145.14
T0000254,C00007,M0126,Entertainment,2025-03-14,2560.32
T0000255,C00007,M0109,Healthcare,2025-08-26,13252.22
T0000256,C00007,M0054,Travel,2024-02-06,37217.97
T0000257,C00007,M0040,Fuel,2025-03-20,2872.99
T0000258,C00007,M0013,Groceries,2025-07-08,2829.75
T0000259,C00007,M0029,Dining,2024-03-20,623.39
T0000260,C00007,M0017,Dining,2024-06-01,1612.38
T0000261,C00007,M0024,Dining,2024-02-04,2181.4
T0000262,C00007,M0084,Fashion,2025-02-21,3069.92
T0000263,C00007,M0109,Healthcare,2025-08-07,8358.8
T0000264,C00007,M0070,Electronics,2025-01-05,47793.53
T0000265,C00007,M0130,Entertainment,2024-09-20,2666.11
T0000266,C00007,M0100,Bills & Utilities,2024-10-02,3196.47
T0000267,C00007,M0042,Fuel,2024-06-12,834.82
T0000268,C00007,M0035,Fuel,2025-10-01,3608.68
T0000269,C00007,M0058,Travel,2025-03-30,5171.18
T0000270,C00007,M0134,Entertainment,2024-04-05,1301.19
T0000271,C00007,M0037,Fuel,2024-09-24,2651.25
T0000272,C00007,M0131,Entertainment,2024-08-27,1071.64
T0000273,C00007,M0123,Entertainment,2024-11-25,2630.38
T0000274,C00007,M0060,Travel,2025-06-08,19190.22
T0000275,C00008,M0096,Bills & Utilities,2024-07-19,2597.61
T0000276,C00008,M0116,Healthcare,2024-09-17,19908.37
T0000277,C00008,M0138,Online Shopping,2025-12-21,1138.14
T0000278,C00008,M0040,Fuel,2025-08-22,2259.95
T0000279,C00008,M0020,Dining,2024-06-24,1748.62
T0000280,C00008,M0024,Dining,2025-06-18,730.5
T0000281,C00008,M0100,Bills & Utilities,2025-02-12,1115.48
T0000282,C00008,M0147,Online Shopping,2024-12-05,1028.88
T0000283,C00008,M0121,Entertainment,2024-07-23,906.21
T0000284,C00008,M0074,Electronics,2024-08-07,56946.43
T0000285,C00008,M0128,Entertainment,2024-04-07,1755.42
T0000286,C00008,M0054,Travel,2025-11-19,16710.97
T0000287,C00008,M0008,Groceries,2025-03-01,2286.2
T0000288,C00008,M0145,Online Shopping,2024-04-10,350.31
T0000289,C00008,M0069,Electronics,2024-12-17,12497.28
T0000290,C00008,M0131,Entertainment,2024-08-22,2964.48
T0000291,C00008,M0039,Fuel,2024-12-14,1395.06
T0000292,C00008,M0057,Travel,2024-07-28,34801.12
T0000293,C00008,M0013,Groceries,2025-07-07,343.3
T0000294,C00008,M0030,Dining,2024-06-20,275.43
T0000295,C00008,M0067,Electronics,2024-03-09,11387.96
T0000296,C00008,M0069,Electronics,2024-12-30,9472.56
T0000297,C00008,M0054,Travel,2025-03-10,22059.22
T0000298,C00008,M0047,Travel,2024-03-10,23298.55
T0000299,C00008,M0043,Fuel,2025-02-11,1819.48
T0000300,C00008,M0147,Online Shopping,2025-12-07,4272.95
T0000301,C00008,M0139,Online Shopping,2024-01-04,439.89
T0000302,C00008,M0035,Fuel,2024-07-12,696.94
T0000303,C00008,M0082,Fashion,2025-09-15,6874.45
T0000304,C00008,M0047,Travel,2025-04-26,39500.74
T0000305,C00008,M0113,Healthcare,2025-09-28,7828.24
T0000306,C00008,M0101,Bills & Utilities,2024-02-26,2368.8
T0000307,C00009,M0093,Bills & Utilities,2025-02-04,1309.13
T0000308,C00009,M0028,Dining,2024-09-08,719.45
T0000309,C00009,M0146,Online Shopping,2024-02-14,12851.32
T0000310,C00009,M0148,Online Shopping,2025-12-23,6907.14
T0000311,C00009,M0043,Fuel,2024-11-07,2037.17
T0000312,C00009,M0121,Entertainment,2025-04-13,2810.24
T0000313,C00009,M0103,Bills & Utilities,2024-04-20,3871.16
T0000314,C00009,M0065,Electronics,2025-07-06,46455.5
T0000315,C00009,M0038,Fuel,2025-04-13,1279.43
T0000316,C00009,M0113,Healthcare,2025-07-20,8765.11
T0000317,C00009,M0059,Travel,2024-03-06,34835.65
T0000318,C00009,M0063,Electronics,2025-07-30,22812.46
T0000319,C00009,M0020,Dining,2025-11-19,1714.31
T0000320,C00009,M0022,Dining,2024-08-12,189.56
T0000321,C00009,M0138,Online Shopping,2025-07-24,7768.17
T0000322,C00009,M0118,Healthcare,2025-06-16,17501.24
T0000323,C00009,M0077,Fashion,2025-11-01,14500.5
T0000324,C00009,M0043,Fuel,2024-01-27,1335.41
T0000325,C00009,M0055,Travel,2025-11-13,29685.48
T0000326,C00009,M0001,Groceries,2024-07-20,1871.49
T0000327,C00009,M0145,Online Shopping,2024-04-09,13913.03
T0000328,C00009,M0065,Electronics,2024-01-05,5413.0
T0000329,C00009,M0105,Bills & Utilities,2025-03-08,827.09
T0000330,C00009,M0076,Fashion,2024-01-14,13429.16
T0000331,C00009,M0048,Travel,2024-11-18,21182.48
T0000332,C00009,M0061,Electronics,2025-01-29,8234.53
T0000333,C00010,M0104,Bills & Utilities,2025-08-19,4557.09
T0000334,C00010,M0054,Travel,2025-10-31,22717.25
T0000335,C00010,M0105,Bills & Utilities,2024-12-10,3246.34
T0000336,C00010,M0098,Bills & Utilities,2025-05-22,4081.05
T0000337,C00010,M0080,Fashion,2025-02-19,3301.47
T0000338,C00010,M0089,Fashion,2024-03-03,14321.22
T0000339,C00010,M0100,Bills & Utilities,2025-08-19,5433.19
T0000340,C00010,M0134,Entertainment,2024-06-01,1661.6
T0000341,C00010,M0013,Groceries,2025-01-12,791.51
T0000342,C00010,M0135,Entertainment,2025-02-23,2152.69
T0000343,C00010,M0035,Fuel,2025-08-25,2075.72
T0000344,C00010,M0122,Entertainment,2024-09-28,2728.98
T0000345,C00010,M0006,Groceries,2024-08-15,285.35
T0000346,C00010,M0036,Fuel,2025-10-16,606.11
T0000347,C00010,M0080,Fashion,2025-08-05,10363.09
T0000348,C00010,M0025,Dining,2025-02-09,348.32
T0000349,C00010,M0085,Fashion,2025-04-04,10406.52
T0000350,C00010,M0140,Online Shopping,2024-12-17,12197.81
T0000351,C00010,M0078,Fashion,2025-08-18,5670.34
T0000352,C00010,M0076,Fashion,2025-05-17,12958.14
T0000353,C00010,M0124,Entertainment,2025-08-13,1668.25
T0000354,C00010,M0097,Bills & Utilities,2024-03-17,2169.55
T0000355,C00010,M0030,Dining,2025-09-29,1747.63
T0000356,C00010,M0038,Fuel,2024-03-10,3679.01
T0000357,C00010,M0126,Entertainment,2024-07-27,1736.36
T0000358,C00010,M0005,Groceries,2025-08-04,2518.7
T0000359,C00010,M0075,Electronics,2025-02-08,31581.52
T0000360,C00010,M0110,Healthcare,2024-05-16,2695.89
T0000361,C00010,M0017,Dining,2024-02-27,1890.91
T0000362,C00010,M0117,Healthcare,2024-06-06,13976.67
T0000363,C00010,M0021,Dining,2025-10-01,1073.08
T0000364,C00010,M0129,Entertainment,2024-10-08,1411.32
T0000365,C00011,M0049,Travel,2025-02-09,27149.51
T0000366,C00011,M0031,Fuel,2025-12-15,717.78
T0000367,C00011,M0140,Online Shopping,2024-10-18,17813.89
T0000368,C00011,M0082,Fashion,2025-05-04,1082.14
T0000369,C00011,M0126,Entertainment,2024-08-23,2348.2
T0000370,C00011,M0031,Fuel,2024-02-01,1207.3
T0000371,C00011,M0031,Fuel,2024-04-30,3896.46
T0000372,C00011,M0068,Electronics,2025-03-11,1444.92
T0000373,C00011,M0018,Dining,2024-09-22,471.37
T0000374,C00011,M0057,Travel,2025-04-14,32987.95
T0000375,C00011,M0087,Fashion,2025-07-05,4816.24
T0000376,C00011,M0140,Online Shopping,2024-03-09,16731.7
T0000377,C00011,M0101,Bills & Utilities,2024-01-30,1721.63
T0000378,C00011,M0123,Entertainment,2025-03-03,1574.61
T0000379,C00011,M0149,Online Shopping,2025-09-19,16286.53
T0000380,C00011,M0062,Electronics,2025-09-24,49454.01
T0000381,C00011,M0034,Fuel,2024-03-06,3846.58
T0000382,C00011,M0009,Groceries,2024-07-28,308.26
T0000383,C00011,M0127,Entertainment,2024-09-08,2218.31
T0000384,C00011,M0101,Bills & Utilities,2025-07-02,2799.24
T0000385,C00011,M0077,Fashion,2025-07-05,10647.52
T0000386,C00011,M0104,Bills & Utilities,2024-11-25,3122.18
T0000387,C00011,M0023,Dining,2024-07-29,1489.1
T0000388,C00011,M0031,Fuel,2025-07-22,1594.01
T0000389,C00011,M0089,Fashion,2025-04-23,4388.13
T0000390,C00011,M0026,Dining,2024-05-20,1481.51
T0000391,C00011,M0005,Groceries,2025-06-25,1941.77
T0000392,C00011,M0028,Dining,2025-05-13,550.28
T0000393,C00011,M0095,Bills & Utilities,2024-10-21,1209.35
T0000394,C00011,M0064,Electronics,2025-04-18,29999.2
T0000395,C00011,M0023,Dining,2025-04-08,1282.92
T0000396,C00011,M0108,Healthcare,2024-12-05,17170.16
T0000397,C00011,M0046,Travel,2024-11-03,21072.13
T0000398,C00011,M0063,Electronics,2024-04-03,33933.34
T0000399,C00011,M0033,Fuel,2024-12-08,3186.58
T0000400,C00011,M0132,Entertainment,2024-04-23,1837.5
T0000401,C00011,M0120,Healthcare,2025-07-15,14740.73
T0000402,C00012,M0059,Travel,2024-12-22,28498.38
T0000403,C00012,M0009,Groceries,2024-07-11,319.85
T0000404,C00012,M0150,Online Shopping,2025-03-29,6626.37
T0000405,C00012,M0134,Entertainment,2025-01-20,1602.79
T0000406,C00012,M0069,Electronics,2025-05-12,30219.42
T0000407,C00012,M0021,Dining,2025-09-11,1944.03
T0000408,C00012,M0089,Fashion,2024-04-07,6115.26
T0000409,C00012,M0035,Fuel,2024-04-29,3732.4
T0000410,C00012,M0025,Dining,2024-07-04,1276.91
T0000411,C00012,M0092,Bills & Utilities,2025-05-08,4478.44
T0000412,C00012,M0087,Fashion,2025-05-29,11789.37
T0000413,C00012,M0008,Groceries,2024-07-28,2646.71
T0000414,C00012,M0114,Healthcare,2024-07-03,18461.2
T0000415,C00012,M0093,Bills & Utilities,2025-11-20,4872.85
T0000416,C00012,M0020,Dining,2025-01-29,1887.44
T0000417,C00012,M0029,Dining,2024-10-01,2395.22
T0000418,C00012,M0122,Entertainment,2025-08-05,1026.86
T0000419,C00012,M0022,Dining,2024-01-05,1393.2
T0000420,C00012,M0119,Healthcare,2025-09-19,11004.39
T0000421,C00012,M0035,Fuel,2024-07-31,2106.95
T0000422,C00012,M0070,Electronics,2025-06-28,16654.12
T0000423,C00012,M0056,Travel,2024-11-27,3124.15
T0000424,C00012,M0124,Entertainment,2024-03-07,409.56
T0000425,C00012,M0082,Fashion,2024-03-24,3933.63
T0000426,C00012,M0136,Online Shopping,2025-12-16,17505.19
T0000427,C00012,M0027,Dining,2025-02-14,631.94
T0000428,C00012,M0071,Electronics,2024-09-22,17638.49
T0000429,C00012,M0040,Fuel,2024-06-01,3676.15
T0000430,C00012,M0147,Online Shopping,2025-07-10,14282.3
T0000431,C00012,M0063,Electronics,2024-01-29,21713.5
T0000432,C00012,M0090,Fashion,2024-05-14,1413.72
T0000433,C00012,M0070,Electronics,2024-04-25,25623.15
T0000434,C00012,M0051,Travel,2024-04-01,13208.57
T0000435,C00012,M0081,Fashion,2025-01-26,2591.64
T0000436,C00013,M0059,Travel,2025-04-06,17614.28
T0000437,C00013,M0089,Fashion,2024-04-01,4865.17
T0000438,C00013,M0120,Healthcare,2024-12-09,6434.11
T0000439,C00013,M0079,Fashion,2025-09-07,690.43
T0000440,C00013,M0107,Healthcare,2024-09-07,12741.28
T0000441,C00013,M0018,Dining,2024-03-02,749.51
T0000442,C00013,M0082,Fashion,2024-09-25,13249.11
T0000443,C00013,M0053,Travel,2024-05-03,18365.6
T0000444,C00013,M0115,Healthcare,2025-01-20,863.62
T0000445,C00013,M0082,Fashion,2025-04-21,5450.48
T0000446,C00013,M0058,Travel,2025-11-22,11002.77
T0000447,C00013,M0026,Dining,2024-11-13,341.83
T0000448,C00013,M0144,Online Shopping,2025-01-29,9240.76
T0000449,C00013,M0149,Online Shopping,2024-10-29,6617.6
T0000450,C00013,M0142,Online Shopping,2024-09-13,11842.15
T0000451,C00013,M0144,Online Shopping,2025-08-30,2558.33
T0000452,C00013,M0110,Healthcare,2024-01-01,1382.67
T0000453,C00013,M0147,Online Shopping,2025-09-09,15147.55
T0000454,C00013,M0075,Electronics,2024-07-12,6782.91
T0000455,C00013,M0058,Travel,2024-04-22,15996.03
T0000456,C00013,M0047,Travel,2025-08-14,19808.17
T0000457,C00013,M0097,Bills & Utilities,2024-08-17,1508.73
T0000458,C00013,M0134,Entertainment,2025-03-14,1470.48
